,checkpoint-36000
adjunct_island,0.755
adv_order,0.803
anaphor_gender_agreement,0.755
anaphor_number_agreement,0.773
center_embedding_double_1,0.277
center_embedding_double_2,0.974
center_embedding_single_1,0.358
center_embedding_single_2,0.989
complex_np_island,0.289
coordinate_structure_constrain_object_extraction,0.715
determiner_noun_agreement_1,0.951
determiner_noun_agreement_2,0.982
determiner_noun_agreement_adj_1,0.86
determiner_noun_agreement_adj_2,0.917
ellipsis,0.708
green_ideas,0.697
intransitive,0.579
left_branch_island_simple_question,0.579
matrix_question_npi_licensor_present,0.664
npi_present,0.449
only_npi_licensor_present,0.474
only_npi_scope,0.663
pp_order,0.78
principle_A_c_command,0.357
principle_A_domain_1,1.0
principle_A_domain_2,0.751
principle_A_domain_3,0.593
recursion_intensifier_adj_long,0.995
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.024
recursion_intensifier_adv_medium,0.007
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.971
recursion_poss_ditransitive_medium,0.978
recursion_poss_ditransitive_short,0.985
recursion_poss_transitive_long,0.931
recursion_poss_transitive_medium,0.919
recursion_poss_transitive_short,0.973
recursion_pp_is_long,0.025
recursion_pp_is_medium,0.08
recursion_pp_is_short,0.744
recursion_pp_verb_long,0.99
recursion_pp_verb_medium,0.979
recursion_pp_verb_short,0.983
sentential_negation_npi_licensor_present,0.348
sentential_negation_npi_scope,0.235
subj_aux_agreement_question_vary_aux,0.528
subj_aux_agreement_question_vary_subj,0.542
subj_aux_vary_subj,0.875
subj_aux_vary_verb,0.986
subj_aux_vary_verb_pp,0.271
subj_aux_vary_verb_rc,0.337
subj_verb_vary_verb,0.857
svo_vos,0.661
swapped_ditransitive_1,0.913
swapped_ditransitive_2,0.889
transitive,0.931
wh_island,0.717
wh_questions_object_gap,0.257
wh_questions_object_gap_long_distance,0.239
wh_questions_subject_gap,0.768
wh_questions_subject_gap_long_distance,0.879
wh_vs_that_no_gap,0.955
wh_vs_that_no_gap_long_distance,0.959
wh_vs_that_with_gap,0.285
wh_vs_that_with_gap_long_distance,0.093
