,checkpoint-32000
adjunct_island,0.884
adv_order,0.919
anaphor_gender_agreement,0.662
anaphor_number_agreement,0.791
center_embedding_double_1,0.25
center_embedding_double_2,0.995
center_embedding_single_1,0.294
center_embedding_single_2,0.994
complex_np_island,0.193
coordinate_structure_constrain_object_extraction,0.525
determiner_noun_agreement_1,0.971
determiner_noun_agreement_2,0.99
determiner_noun_agreement_adj_1,0.898
determiner_noun_agreement_adj_2,0.896
ellipsis,0.553
green_ideas,0.806
intransitive,0.719
left_branch_island_simple_question,0.653
matrix_question_npi_licensor_present,0.534
npi_present,0.648
only_npi_licensor_present,0.817
only_npi_scope,0.577
pp_order,0.766
principle_A_c_command,0.499
principle_A_domain_1,1.0
principle_A_domain_2,0.591
principle_A_domain_3,0.548
recursion_intensifier_adj_long,0.985
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.051
recursion_intensifier_adv_medium,0.016
recursion_intensifier_adv_short,0.069
recursion_poss_ditransitive_long,0.941
recursion_poss_ditransitive_medium,0.978
recursion_poss_ditransitive_short,0.996
recursion_poss_transitive_long,0.9
recursion_poss_transitive_medium,0.957
recursion_poss_transitive_short,0.995
recursion_pp_is_long,0.047
recursion_pp_is_medium,0.134
recursion_pp_is_short,0.839
recursion_pp_verb_long,0.968
recursion_pp_verb_medium,0.875
recursion_pp_verb_short,0.612
sentential_negation_npi_licensor_present,0.214
sentential_negation_npi_scope,0.322
subj_aux_agreement_question_vary_aux,0.802
subj_aux_agreement_question_vary_subj,0.642
subj_aux_vary_subj,0.874
subj_aux_vary_verb,0.979
subj_aux_vary_verb_pp,0.28
subj_aux_vary_verb_rc,0.333
subj_verb_vary_verb,0.863
svo_vos,0.793
swapped_ditransitive_1,0.804
swapped_ditransitive_2,0.667
transitive,0.951
wh_island,0.773
wh_questions_object_gap,0.198
wh_questions_object_gap_long_distance,0.278
wh_questions_subject_gap,0.869
wh_questions_subject_gap_long_distance,0.947
wh_vs_that_no_gap,0.984
wh_vs_that_no_gap_long_distance,0.994
wh_vs_that_with_gap,0.317
wh_vs_that_with_gap_long_distance,0.052
