,checkpoint-8000
adjunct_island,0.839
adv_order,0.771
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.478
center_embedding_double_1,0.316
center_embedding_double_2,0.987
center_embedding_single_1,0.201
center_embedding_single_2,0.992
complex_np_island,0.42
coordinate_structure_constrain_object_extraction,0.673
determiner_noun_agreement_1,0.551
determiner_noun_agreement_2,0.652
determiner_noun_agreement_adj_1,0.509
determiner_noun_agreement_adj_2,0.591
ellipsis,0.191
green_ideas,0.55
intransitive,0.628
left_branch_island_simple_question,0.015
matrix_question_npi_licensor_present,0.614
npi_present,0.334
only_npi_licensor_present,0.942
only_npi_scope,0.982
pp_order,0.82
principle_A_c_command,0.488
principle_A_domain_1,1.0
principle_A_domain_2,0.504
principle_A_domain_3,0.491
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.73
recursion_poss_ditransitive_medium,0.758
recursion_poss_ditransitive_short,0.788
recursion_poss_transitive_long,0.522
recursion_poss_transitive_medium,0.696
recursion_poss_transitive_short,0.886
recursion_pp_is_long,0.588
recursion_pp_is_medium,0.588
recursion_pp_is_short,0.782
recursion_pp_verb_long,0.979
recursion_pp_verb_medium,0.998
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.039
sentential_negation_npi_scope,0.364
subj_aux_agreement_question_vary_aux,0.499
subj_aux_agreement_question_vary_subj,0.467
subj_aux_vary_subj,0.556
subj_aux_vary_verb,0.677
subj_aux_vary_verb_pp,0.335
subj_aux_vary_verb_rc,0.426
subj_verb_vary_verb,0.443
svo_vos,0.459
swapped_ditransitive_1,0.871
swapped_ditransitive_2,0.902
transitive,0.863
wh_island,0.869
wh_questions_object_gap,0.203
wh_questions_object_gap_long_distance,0.199
wh_questions_subject_gap,0.938
wh_questions_subject_gap_long_distance,0.978
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.031
wh_vs_that_with_gap_long_distance,0.021
