,checkpoint-28000
adjunct_island,0.844
adv_order,0.923
anaphor_gender_agreement,0.708
anaphor_number_agreement,0.653
center_embedding_double_1,0.241
center_embedding_double_2,0.997
center_embedding_single_1,0.269
center_embedding_single_2,0.997
complex_np_island,0.174
coordinate_structure_constrain_object_extraction,0.477
determiner_noun_agreement_1,0.962
determiner_noun_agreement_2,0.989
determiner_noun_agreement_adj_1,0.896
determiner_noun_agreement_adj_2,0.893
ellipsis,0.526
green_ideas,0.759
intransitive,0.717
left_branch_island_simple_question,0.581
matrix_question_npi_licensor_present,0.591
npi_present,0.503
only_npi_licensor_present,0.823
only_npi_scope,0.864
pp_order,0.807
principle_A_c_command,0.489
principle_A_domain_1,1.0
principle_A_domain_2,0.573
principle_A_domain_3,0.546
recursion_intensifier_adj_long,0.997
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.011
recursion_intensifier_adv_medium,0.005
recursion_intensifier_adv_short,0.013
recursion_poss_ditransitive_long,0.792
recursion_poss_ditransitive_medium,0.866
recursion_poss_ditransitive_short,0.977
recursion_poss_transitive_long,0.828
recursion_poss_transitive_medium,0.935
recursion_poss_transitive_short,0.995
recursion_pp_is_long,0.17
recursion_pp_is_medium,0.452
recursion_pp_is_short,0.942
recursion_pp_verb_long,0.536
recursion_pp_verb_medium,0.539
recursion_pp_verb_short,0.635
sentential_negation_npi_licensor_present,0.225
sentential_negation_npi_scope,0.32
subj_aux_agreement_question_vary_aux,0.79
subj_aux_agreement_question_vary_subj,0.64
subj_aux_vary_subj,0.914
subj_aux_vary_verb,0.976
subj_aux_vary_verb_pp,0.274
subj_aux_vary_verb_rc,0.321
subj_verb_vary_verb,0.843
svo_vos,0.751
swapped_ditransitive_1,0.786
swapped_ditransitive_2,0.699
transitive,0.94
wh_island,0.804
wh_questions_object_gap,0.183
wh_questions_object_gap_long_distance,0.235
wh_questions_subject_gap,0.787
wh_questions_subject_gap_long_distance,0.912
wh_vs_that_no_gap,0.972
wh_vs_that_no_gap_long_distance,0.993
wh_vs_that_with_gap,0.371
wh_vs_that_with_gap_long_distance,0.081
