,checkpoint-40000
adjunct_island,0.682
adv_order,0.814
anaphor_gender_agreement,0.746
anaphor_number_agreement,0.794
center_embedding_double_1,0.279
center_embedding_double_2,0.964
center_embedding_single_1,0.333
center_embedding_single_2,0.99
complex_np_island,0.238
coordinate_structure_constrain_object_extraction,0.589
determiner_noun_agreement_1,0.948
determiner_noun_agreement_2,0.98
determiner_noun_agreement_adj_1,0.87
determiner_noun_agreement_adj_2,0.917
ellipsis,0.716
green_ideas,0.709
intransitive,0.584
left_branch_island_simple_question,0.566
matrix_question_npi_licensor_present,0.736
npi_present,0.436
only_npi_licensor_present,0.309
only_npi_scope,0.621
pp_order,0.772
principle_A_c_command,0.396
principle_A_domain_1,1.0
principle_A_domain_2,0.752
principle_A_domain_3,0.581
recursion_intensifier_adj_long,0.983
recursion_intensifier_adj_medium,0.995
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.089
recursion_intensifier_adv_medium,0.066
recursion_intensifier_adv_short,0.03
recursion_poss_ditransitive_long,0.899
recursion_poss_ditransitive_medium,0.918
recursion_poss_ditransitive_short,0.975
recursion_poss_transitive_long,0.923
recursion_poss_transitive_medium,0.929
recursion_poss_transitive_short,0.988
recursion_pp_is_long,0.165
recursion_pp_is_medium,0.324
recursion_pp_is_short,0.881
recursion_pp_verb_long,0.956
recursion_pp_verb_medium,0.925
recursion_pp_verb_short,0.909
sentential_negation_npi_licensor_present,0.166
sentential_negation_npi_scope,0.215
subj_aux_agreement_question_vary_aux,0.615
subj_aux_agreement_question_vary_subj,0.574
subj_aux_vary_subj,0.821
subj_aux_vary_verb,0.978
subj_aux_vary_verb_pp,0.31
subj_aux_vary_verb_rc,0.342
subj_verb_vary_verb,0.832
svo_vos,0.526
swapped_ditransitive_1,0.916
swapped_ditransitive_2,0.934
transitive,0.922
wh_island,0.76
wh_questions_object_gap,0.402
wh_questions_object_gap_long_distance,0.37
wh_questions_subject_gap,0.786
wh_questions_subject_gap_long_distance,0.9
wh_vs_that_no_gap,0.902
wh_vs_that_no_gap_long_distance,0.928
wh_vs_that_with_gap,0.331
wh_vs_that_with_gap_long_distance,0.126
