,best
adjunct_island,0.877
adv_order,0.493
wh_vs_that_with_gap,0.369
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.497
recursion_pp_verb_long,0.544
center_embedding_double_1,0.438
recursion_pp_verb_medium,0.969
center_embedding_double_2,0.897
recursion_pp_verb_short,1.0
center_embedding_single_1,0.412
subj_aux_vary_verb_rc,0.465
center_embedding_single_2,0.797
complex_np_island,0.478
recursion_poss_transitive_medium,0.855
coordinate_structure_constrain_object_extraction,0.312
subj_aux_vary_verb_pp,0.404
determiner_noun_agreement_1,0.471
subj_verb_vary_verb,0.426
determiner_noun_agreement_2,0.559
svo_vos,0.474
determiner_noun_agreement_adj_1,0.514
swapped_ditransitive_1,0.785
determiner_noun_agreement_adj_2,0.563
ellipsis,0.289
green_ideas,0.504
intransitive,0.731
recursion_poss_transitive_short,0.848
left_branch_island_simple_question,0.037
recursion_pp_is_long,0.021
matrix_question_npi_licensor_present,0.37
npi_present,0.46
swapped_ditransitive_2,0.749
only_npi_licensor_present,1.0
only_npi_scope,0.151
pp_order,0.553
principle_A_c_command,0.492
principle_A_domain_1,1.0
principle_A_domain_2,0.515
principle_A_domain_3,0.498
transitive,0.837
recursion_intensifier_adj_long,1.0
wh_island,0.983
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.046
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.311
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.073
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.845
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.949
recursion_poss_ditransitive_long,0.58
recursion_pp_is_medium,0.001
recursion_poss_ditransitive_medium,0.59
recursion_pp_is_short,0.0
recursion_poss_ditransitive_short,0.643
wh_vs_that_no_gap,0.999
recursion_poss_transitive_long,0.923
subj_aux_agreement_question_vary_subj,0.488
sentential_negation_npi_licensor_present,0.17
wh_vs_that_no_gap_long_distance,0.996
sentential_negation_npi_scope,0.547
subj_aux_vary_subj,0.576
subj_aux_agreement_question_vary_aux,0.666
subj_aux_vary_verb,0.595
