,checkpoint-36000
adjunct_island,0.834
adv_order,0.963
anaphor_gender_agreement,0.641
anaphor_number_agreement,0.85
center_embedding_double_1,0.238
center_embedding_double_2,0.996
center_embedding_single_1,0.323
center_embedding_single_2,0.998
complex_np_island,0.233
coordinate_structure_constrain_object_extraction,0.514
determiner_noun_agreement_1,0.951
determiner_noun_agreement_2,0.985
determiner_noun_agreement_adj_1,0.924
determiner_noun_agreement_adj_2,0.961
ellipsis,0.649
green_ideas,0.631
intransitive,0.778
left_branch_island_simple_question,0.658
matrix_question_npi_licensor_present,0.474
npi_present,0.484
only_npi_licensor_present,0.992
only_npi_scope,0.947
pp_order,0.826
principle_A_c_command,0.353
principle_A_domain_1,1.0
principle_A_domain_2,0.691
principle_A_domain_3,0.582
recursion_intensifier_adj_long,0.999
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.009
recursion_intensifier_adv_medium,0.01
recursion_intensifier_adv_short,0.109
recursion_poss_ditransitive_long,0.808
recursion_poss_ditransitive_medium,0.91
recursion_poss_ditransitive_short,0.975
recursion_poss_transitive_long,0.818
recursion_poss_transitive_medium,0.852
recursion_poss_transitive_short,0.987
recursion_pp_is_long,0.056
recursion_pp_is_medium,0.133
recursion_pp_is_short,0.689
recursion_pp_verb_long,0.449
recursion_pp_verb_medium,0.358
recursion_pp_verb_short,0.537
sentential_negation_npi_licensor_present,0.626
sentential_negation_npi_scope,0.58
subj_aux_agreement_question_vary_aux,0.8
subj_aux_agreement_question_vary_subj,0.577
subj_aux_vary_subj,0.878
subj_aux_vary_verb,0.974
subj_aux_vary_verb_pp,0.304
subj_aux_vary_verb_rc,0.322
subj_verb_vary_verb,0.846
svo_vos,0.77
swapped_ditransitive_1,0.903
swapped_ditransitive_2,0.833
transitive,0.918
wh_island,0.676
wh_questions_object_gap,0.3
wh_questions_object_gap_long_distance,0.377
wh_questions_subject_gap,0.868
wh_questions_subject_gap_long_distance,0.892
wh_vs_that_no_gap,0.951
wh_vs_that_no_gap_long_distance,0.916
wh_vs_that_with_gap,0.336
wh_vs_that_with_gap_long_distance,0.162
