,best
adjunct_island,0.685
adv_order,0.681
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.499
center_embedding_double_1,0.512
center_embedding_double_2,0.964
center_embedding_single_1,0.321
center_embedding_single_2,0.975
complex_np_island,0.613
coordinate_structure_constrain_object_extraction,0.676
determiner_noun_agreement_1,0.49
determiner_noun_agreement_2,0.605
determiner_noun_agreement_adj_1,0.524
determiner_noun_agreement_adj_2,0.595
ellipsis,0.459
green_ideas,0.402
intransitive,0.648
left_branch_island_simple_question,0.54
matrix_question_npi_licensor_present,0.01
npi_present,0.386
only_npi_licensor_present,0.999
only_npi_scope,0.226
pp_order,0.827
principle_A_c_command,0.493
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.477
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.612
recursion_poss_ditransitive_medium,0.603
recursion_poss_ditransitive_short,0.628
recursion_poss_transitive_long,0.932
recursion_poss_transitive_medium,0.912
recursion_poss_transitive_short,0.974
recursion_pp_is_long,0.455
recursion_pp_is_medium,0.163
recursion_pp_is_short,0.4
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.997
sentential_negation_npi_licensor_present,0.522
sentential_negation_npi_scope,0.631
subj_aux_agreement_question_vary_aux,0.523
subj_aux_agreement_question_vary_subj,0.493
subj_aux_vary_subj,0.58
subj_aux_vary_verb,0.741
subj_aux_vary_verb_pp,0.453
subj_aux_vary_verb_rc,0.472
subj_verb_vary_verb,0.429
svo_vos,0.642
swapped_ditransitive_1,0.701
swapped_ditransitive_2,0.655
transitive,0.809
wh_island,0.908
wh_questions_object_gap,0.174
wh_questions_object_gap_long_distance,0.192
wh_questions_subject_gap,0.7
wh_questions_subject_gap_long_distance,0.608
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.389
wh_vs_that_with_gap_long_distance,0.4
