,checkpoint-4000
adjunct_island,0.607
adv_order,0.628
anaphor_gender_agreement,0.498
anaphor_number_agreement,0.526
center_embedding_double_1,0.278
center_embedding_double_2,0.977
center_embedding_single_1,0.089
center_embedding_single_2,0.997
complex_np_island,0.466
coordinate_structure_constrain_object_extraction,0.426
determiner_noun_agreement_1,0.476
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.513
determiner_noun_agreement_adj_2,0.602
ellipsis,0.638
green_ideas,0.465
intransitive,0.481
left_branch_island_simple_question,0.199
matrix_question_npi_licensor_present,0.465
npi_present,0.311
only_npi_licensor_present,0.064
only_npi_scope,0.755
pp_order,0.628
principle_A_c_command,0.534
principle_A_domain_1,1.0
principle_A_domain_2,0.495
principle_A_domain_3,0.522
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.695
recursion_poss_ditransitive_medium,0.696
recursion_poss_ditransitive_short,0.704
recursion_poss_transitive_long,0.992
recursion_poss_transitive_medium,0.989
recursion_poss_transitive_short,0.984
recursion_pp_is_long,0.002
recursion_pp_is_medium,0.001
recursion_pp_is_short,0.306
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.51
sentential_negation_npi_scope,0.499
subj_aux_agreement_question_vary_aux,0.505
subj_aux_agreement_question_vary_subj,0.487
subj_aux_vary_subj,0.526
subj_aux_vary_verb,0.451
subj_aux_vary_verb_pp,0.505
subj_aux_vary_verb_rc,0.506
subj_verb_vary_verb,0.381
svo_vos,0.362
swapped_ditransitive_1,0.652
swapped_ditransitive_2,0.555
transitive,0.729
wh_island,0.996
wh_questions_object_gap,0.625
wh_questions_object_gap_long_distance,0.624
wh_questions_subject_gap,0.75
wh_questions_subject_gap_long_distance,0.718
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
