,checkpoint-2000
adjunct_island,0.524
adv_order,0.557
anaphor_gender_agreement,0.502
anaphor_number_agreement,0.513
center_embedding_double_1,0.003
center_embedding_double_2,0.995
center_embedding_single_1,0.0
center_embedding_single_2,1.0
complex_np_island,0.515
coordinate_structure_constrain_object_extraction,0.532
determiner_noun_agreement_1,0.531
determiner_noun_agreement_2,0.497
determiner_noun_agreement_adj_1,0.486
determiner_noun_agreement_adj_2,0.504
ellipsis,0.641
green_ideas,0.464
intransitive,0.512
left_branch_island_simple_question,0.606
matrix_question_npi_licensor_present,0.707
npi_present,0.709
only_npi_licensor_present,0.375
only_npi_scope,0.771
pp_order,0.591
principle_A_c_command,0.534
principle_A_domain_1,0.325
principle_A_domain_2,0.48
principle_A_domain_3,0.467
recursion_intensifier_adj_long,0.603
recursion_intensifier_adj_medium,0.561
recursion_intensifier_adj_short,0.556
recursion_intensifier_adv_long,0.392
recursion_intensifier_adv_medium,0.452
recursion_intensifier_adv_short,0.442
recursion_poss_ditransitive_long,0.575
recursion_poss_ditransitive_medium,0.524
recursion_poss_ditransitive_short,0.47
recursion_poss_transitive_long,0.201
recursion_poss_transitive_medium,0.189
recursion_poss_transitive_short,0.174
recursion_pp_is_long,0.452
recursion_pp_is_medium,0.714
recursion_pp_is_short,1.0
recursion_pp_verb_long,0.991
recursion_pp_verb_medium,0.997
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.0
sentential_negation_npi_scope,0.619
subj_aux_agreement_question_vary_aux,0.55
subj_aux_agreement_question_vary_subj,0.502
subj_aux_vary_subj,0.517
subj_aux_vary_verb,0.584
subj_aux_vary_verb_pp,0.514
subj_aux_vary_verb_rc,0.489
subj_verb_vary_verb,0.524
svo_vos,0.65
swapped_ditransitive_1,0.637
swapped_ditransitive_2,0.67
transitive,0.456
wh_island,0.972
wh_questions_object_gap,0.136
wh_questions_object_gap_long_distance,0.209
wh_questions_subject_gap,0.294
wh_questions_subject_gap_long_distance,0.398
wh_vs_that_no_gap,0.002
wh_vs_that_no_gap_long_distance,0.007
wh_vs_that_with_gap,0.998
wh_vs_that_with_gap_long_distance,0.999
