,checkpoint-40000
adjunct_island,0.843
adv_order,0.902
anaphor_gender_agreement,0.743
anaphor_number_agreement,0.904
center_embedding_double_1,0.254
center_embedding_double_2,0.991
center_embedding_single_1,0.266
center_embedding_single_2,0.991
complex_np_island,0.304
coordinate_structure_constrain_object_extraction,0.543
determiner_noun_agreement_1,0.97
determiner_noun_agreement_2,0.988
determiner_noun_agreement_adj_1,0.896
determiner_noun_agreement_adj_2,0.94
ellipsis,0.51
green_ideas,0.739
intransitive,0.715
left_branch_island_simple_question,0.587
matrix_question_npi_licensor_present,0.703
npi_present,0.566
only_npi_licensor_present,0.673
only_npi_scope,0.882
pp_order,0.763
principle_A_c_command,0.482
principle_A_domain_1,1.0
principle_A_domain_2,0.694
principle_A_domain_3,0.55
recursion_intensifier_adj_long,0.967
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.142
recursion_intensifier_adv_medium,0.019
recursion_intensifier_adv_short,0.049
recursion_poss_ditransitive_long,0.905
recursion_poss_ditransitive_medium,0.964
recursion_poss_ditransitive_short,0.977
recursion_poss_transitive_long,0.591
recursion_poss_transitive_medium,0.751
recursion_poss_transitive_short,0.983
recursion_pp_is_long,0.081
recursion_pp_is_medium,0.2
recursion_pp_is_short,0.876
recursion_pp_verb_long,0.931
recursion_pp_verb_medium,0.86
recursion_pp_verb_short,0.572
sentential_negation_npi_licensor_present,0.507
sentential_negation_npi_scope,0.388
subj_aux_agreement_question_vary_aux,0.835
subj_aux_agreement_question_vary_subj,0.666
subj_aux_vary_subj,0.837
subj_aux_vary_verb,0.948
subj_aux_vary_verb_pp,0.466
subj_aux_vary_verb_rc,0.392
subj_verb_vary_verb,0.828
svo_vos,0.664
swapped_ditransitive_1,0.825
swapped_ditransitive_2,0.732
transitive,0.936
wh_island,0.782
wh_questions_object_gap,0.23
wh_questions_object_gap_long_distance,0.276
wh_questions_subject_gap,0.797
wh_questions_subject_gap_long_distance,0.909
wh_vs_that_no_gap,0.92
wh_vs_that_no_gap_long_distance,0.94
wh_vs_that_with_gap,0.356
wh_vs_that_with_gap_long_distance,0.08
