,best
adjunct_island,0.444
adv_order,0.666
wh_vs_that_with_gap,0.582
anaphor_gender_agreement,0.496
anaphor_number_agreement,0.468
recursion_pp_verb_long,1.0
center_embedding_double_1,0.472
recursion_pp_verb_medium,1.0
center_embedding_double_2,0.834
recursion_pp_verb_short,1.0
center_embedding_single_1,0.442
subj_aux_vary_verb_rc,0.52
center_embedding_single_2,0.828
complex_np_island,0.455
recursion_poss_transitive_medium,0.834
coordinate_structure_constrain_object_extraction,0.206
subj_aux_vary_verb_pp,0.518
determiner_noun_agreement_1,0.461
subj_verb_vary_verb,0.397
determiner_noun_agreement_2,0.579
svo_vos,0.664
determiner_noun_agreement_adj_1,0.504
swapped_ditransitive_1,0.926
determiner_noun_agreement_adj_2,0.593
ellipsis,0.244
green_ideas,0.546
intransitive,0.366
recursion_poss_transitive_short,0.708
left_branch_island_simple_question,0.108
recursion_pp_is_long,0.117
matrix_question_npi_licensor_present,0.127
npi_present,0.49
swapped_ditransitive_2,0.784
only_npi_licensor_present,1.0
only_npi_scope,0.0
pp_order,0.608
principle_A_c_command,0.471
principle_A_domain_1,0.83
principle_A_domain_2,0.521
principle_A_domain_3,0.516
transitive,0.73
recursion_intensifier_adj_long,1.0
wh_island,1.0
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.092
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.628
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.089
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.679
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.613
recursion_poss_ditransitive_long,0.665
recursion_pp_is_medium,0.115
recursion_poss_ditransitive_medium,0.642
recursion_pp_is_short,0.066
recursion_poss_ditransitive_short,0.617
wh_vs_that_no_gap,1.0
recursion_poss_transitive_long,0.889
subj_aux_agreement_question_vary_subj,0.495
sentential_negation_npi_licensor_present,0.881
wh_vs_that_no_gap_long_distance,1.0
sentential_negation_npi_scope,0.145
subj_aux_vary_subj,0.463
subj_aux_agreement_question_vary_aux,0.485
subj_aux_vary_verb,0.463
