,best
adjunct_island,0.788
adv_order,0.755
wh_vs_that_with_gap,0.148
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.545
recursion_pp_verb_long,0.107
center_embedding_double_1,0.398
recursion_pp_verb_medium,0.182
center_embedding_double_2,0.726
recursion_pp_verb_short,0.421
center_embedding_single_1,0.64
subj_aux_vary_verb_rc,0.471
center_embedding_single_2,0.945
complex_np_island,0.389
recursion_poss_transitive_medium,0.915
coordinate_structure_constrain_object_extraction,0.54
subj_aux_vary_verb_pp,0.413
determiner_noun_agreement_1,0.564
subj_verb_vary_verb,0.441
determiner_noun_agreement_2,0.615
svo_vos,0.403
determiner_noun_agreement_adj_1,0.521
swapped_ditransitive_1,0.774
determiner_noun_agreement_adj_2,0.605
ellipsis,0.611
green_ideas,0.385
intransitive,0.536
recursion_poss_transitive_short,0.95
left_branch_island_simple_question,0.045
recursion_pp_is_long,0.701
matrix_question_npi_licensor_present,0.608
npi_present,0.433
swapped_ditransitive_2,0.757
only_npi_licensor_present,1.0
only_npi_scope,0.967
pp_order,0.844
principle_A_c_command,0.514
principle_A_domain_1,1.0
principle_A_domain_2,0.508
principle_A_domain_3,0.491
transitive,0.885
recursion_intensifier_adj_long,1.0
wh_island,0.632
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.346
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.147
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.195
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.652
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.704
recursion_poss_ditransitive_long,0.804
recursion_pp_is_medium,0.493
recursion_poss_ditransitive_medium,0.797
recursion_pp_is_short,0.147
recursion_poss_ditransitive_short,0.805
wh_vs_that_no_gap,0.998
recursion_poss_transitive_long,0.768
subj_aux_agreement_question_vary_subj,0.492
sentential_negation_npi_licensor_present,0.136
wh_vs_that_no_gap_long_distance,0.995
sentential_negation_npi_scope,0.406
subj_aux_vary_subj,0.6
subj_aux_agreement_question_vary_aux,0.64
subj_aux_vary_verb,0.696
