,checkpoint-20000
adjunct_island,0.892
adv_order,0.941
anaphor_gender_agreement,0.511
anaphor_number_agreement,0.679
center_embedding_double_1,0.244
center_embedding_double_2,0.999
center_embedding_single_1,0.231
center_embedding_single_2,0.995
complex_np_island,0.23
coordinate_structure_constrain_object_extraction,0.441
determiner_noun_agreement_1,0.964
determiner_noun_agreement_2,0.991
determiner_noun_agreement_adj_1,0.88
determiner_noun_agreement_adj_2,0.911
ellipsis,0.487
green_ideas,0.828
intransitive,0.699
left_branch_island_simple_question,0.448
matrix_question_npi_licensor_present,0.459
npi_present,0.497
only_npi_licensor_present,0.319
only_npi_scope,0.717
pp_order,0.693
principle_A_c_command,0.495
principle_A_domain_1,1.0
principle_A_domain_2,0.528
principle_A_domain_3,0.505
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.791
recursion_poss_ditransitive_medium,0.877
recursion_poss_ditransitive_short,0.977
recursion_poss_transitive_long,0.902
recursion_poss_transitive_medium,0.947
recursion_poss_transitive_short,0.989
recursion_pp_is_long,0.044
recursion_pp_is_medium,0.084
recursion_pp_is_short,0.66
recursion_pp_verb_long,0.469
recursion_pp_verb_medium,0.539
recursion_pp_verb_short,0.719
sentential_negation_npi_licensor_present,0.146
sentential_negation_npi_scope,0.647
subj_aux_agreement_question_vary_aux,0.719
subj_aux_agreement_question_vary_subj,0.582
subj_aux_vary_subj,0.903
subj_aux_vary_verb,0.974
subj_aux_vary_verb_pp,0.134
subj_aux_vary_verb_rc,0.267
subj_verb_vary_verb,0.911
svo_vos,0.802
swapped_ditransitive_1,0.681
swapped_ditransitive_2,0.645
transitive,0.942
wh_island,0.795
wh_questions_object_gap,0.12
wh_questions_object_gap_long_distance,0.158
wh_questions_subject_gap,0.811
wh_questions_subject_gap_long_distance,0.956
wh_vs_that_no_gap,0.995
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.4
wh_vs_that_with_gap_long_distance,0.082
