,checkpoint-8000
adjunct_island,0.824
adv_order,0.851
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.499
center_embedding_double_1,0.311
center_embedding_double_2,0.987
center_embedding_single_1,0.159
center_embedding_single_2,0.996
complex_np_island,0.438
coordinate_structure_constrain_object_extraction,0.765
determiner_noun_agreement_1,0.545
determiner_noun_agreement_2,0.667
determiner_noun_agreement_adj_1,0.502
determiner_noun_agreement_adj_2,0.584
ellipsis,0.21
green_ideas,0.558
intransitive,0.672
left_branch_island_simple_question,0.069
matrix_question_npi_licensor_present,0.571
npi_present,0.414
only_npi_licensor_present,0.638
only_npi_scope,0.941
pp_order,0.844
principle_A_c_command,0.53
principle_A_domain_1,1.0
principle_A_domain_2,0.483
principle_A_domain_3,0.488
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.797
recursion_poss_ditransitive_medium,0.88
recursion_poss_ditransitive_short,0.869
recursion_poss_transitive_long,0.748
recursion_poss_transitive_medium,0.82
recursion_poss_transitive_short,0.875
recursion_pp_is_long,0.163
recursion_pp_is_medium,0.324
recursion_pp_is_short,0.876
recursion_pp_verb_long,0.979
recursion_pp_verb_medium,0.985
recursion_pp_verb_short,0.997
sentential_negation_npi_licensor_present,0.02
sentential_negation_npi_scope,0.612
subj_aux_agreement_question_vary_aux,0.58
subj_aux_agreement_question_vary_subj,0.471
subj_aux_vary_subj,0.577
subj_aux_vary_verb,0.726
subj_aux_vary_verb_pp,0.3
subj_aux_vary_verb_rc,0.433
subj_verb_vary_verb,0.452
svo_vos,0.545
swapped_ditransitive_1,0.936
swapped_ditransitive_2,0.95
transitive,0.874
wh_island,0.986
wh_questions_object_gap,0.167
wh_questions_object_gap_long_distance,0.17
wh_questions_subject_gap,0.903
wh_questions_subject_gap_long_distance,0.955
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.077
wh_vs_that_with_gap_long_distance,0.049
