,checkpoint-16000
adjunct_island,0.864
adv_order,0.9
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.692
center_embedding_double_1,0.294
center_embedding_double_2,0.996
center_embedding_single_1,0.253
center_embedding_single_2,0.998
complex_np_island,0.319
coordinate_structure_constrain_object_extraction,0.668
determiner_noun_agreement_1,0.881
determiner_noun_agreement_2,0.902
determiner_noun_agreement_adj_1,0.642
determiner_noun_agreement_adj_2,0.728
ellipsis,0.249
green_ideas,0.745
intransitive,0.678
left_branch_island_simple_question,0.471
matrix_question_npi_licensor_present,0.596
npi_present,0.413
only_npi_licensor_present,0.924
only_npi_scope,0.986
pp_order,0.688
principle_A_c_command,0.455
principle_A_domain_1,1.0
principle_A_domain_2,0.569
principle_A_domain_3,0.472
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.926
recursion_poss_ditransitive_medium,0.928
recursion_poss_ditransitive_short,0.919
recursion_poss_transitive_long,0.843
recursion_poss_transitive_medium,0.895
recursion_poss_transitive_short,0.981
recursion_pp_is_long,0.002
recursion_pp_is_medium,0.007
recursion_pp_is_short,0.456
recursion_pp_verb_long,0.491
recursion_pp_verb_medium,0.44
recursion_pp_verb_short,0.564
sentential_negation_npi_licensor_present,0.334
sentential_negation_npi_scope,0.393
subj_aux_agreement_question_vary_aux,0.609
subj_aux_agreement_question_vary_subj,0.516
subj_aux_vary_subj,0.867
subj_aux_vary_verb,0.948
subj_aux_vary_verb_pp,0.166
subj_aux_vary_verb_rc,0.276
subj_verb_vary_verb,0.89
svo_vos,0.825
swapped_ditransitive_1,0.918
swapped_ditransitive_2,0.731
transitive,0.936
wh_island,0.832
wh_questions_object_gap,0.253
wh_questions_object_gap_long_distance,0.313
wh_questions_subject_gap,0.858
wh_questions_subject_gap_long_distance,0.943
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.214
wh_vs_that_with_gap_long_distance,0.04
