,epoch_2
adjunct_island,0.63
adv_order,0.6
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.451
center_embedding_double_1,0.313
center_embedding_double_2,0.848
center_embedding_single_1,0.036
center_embedding_single_2,0.984
complex_np_island,0.498
coordinate_structure_constrain_object_extraction,0.238
determiner_noun_agreement_1,0.465
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.504
determiner_noun_agreement_adj_2,0.602
ellipsis,0.633
green_ideas,0.611
intransitive,0.546
left_branch_island_simple_question,0.077
matrix_question_npi_licensor_present,0.615
npi_present,0.479
only_npi_licensor_present,0.005
only_npi_scope,0.015
pp_order,0.568
principle_A_c_command,0.546
principle_A_domain_1,0.973
principle_A_domain_2,0.5
principle_A_domain_3,0.503
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.636
recursion_poss_ditransitive_medium,0.616
recursion_poss_ditransitive_short,0.619
recursion_poss_transitive_long,0.719
recursion_poss_transitive_medium,0.773
recursion_poss_transitive_short,0.873
recursion_pp_is_long,0.11
recursion_pp_is_medium,0.473
recursion_pp_is_short,0.644
recursion_pp_verb_long,0.0
recursion_pp_verb_medium,0.005
recursion_pp_verb_short,0.236
sentential_negation_npi_licensor_present,0.016
sentential_negation_npi_scope,0.178
subj_aux_agreement_question_vary_aux,0.553
subj_aux_agreement_question_vary_subj,0.491
subj_aux_vary_subj,0.537
subj_aux_vary_verb,0.813
subj_aux_vary_verb_pp,0.629
subj_aux_vary_verb_rc,0.574
subj_verb_vary_verb,0.461
svo_vos,0.709
swapped_ditransitive_1,0.983
swapped_ditransitive_2,0.977
transitive,0.811
wh_island,0.902
wh_questions_object_gap,0.354
wh_questions_object_gap_long_distance,0.363
wh_questions_subject_gap,0.857
wh_questions_subject_gap_long_distance,0.835
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.186
wh_vs_that_with_gap_long_distance,0.223
