,checkpoint-12000
adjunct_island,0.865
adv_order,0.866
anaphor_gender_agreement,0.49
anaphor_number_agreement,0.576
center_embedding_double_1,0.285
center_embedding_double_2,0.981
center_embedding_single_1,0.188
center_embedding_single_2,0.996
complex_np_island,0.411
coordinate_structure_constrain_object_extraction,0.661
determiner_noun_agreement_1,0.777
determiner_noun_agreement_2,0.822
determiner_noun_agreement_adj_1,0.559
determiner_noun_agreement_adj_2,0.639
ellipsis,0.407
green_ideas,0.666
intransitive,0.703
left_branch_island_simple_question,0.255
matrix_question_npi_licensor_present,0.434
npi_present,0.445
only_npi_licensor_present,0.89
only_npi_scope,0.984
pp_order,0.609
principle_A_c_command,0.516
principle_A_domain_1,1.0
principle_A_domain_2,0.503
principle_A_domain_3,0.493
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.76
recursion_poss_ditransitive_medium,0.768
recursion_poss_ditransitive_short,0.8
recursion_poss_transitive_long,0.727
recursion_poss_transitive_medium,0.822
recursion_poss_transitive_short,0.986
recursion_pp_is_long,0.034
recursion_pp_is_medium,0.027
recursion_pp_is_short,0.46
recursion_pp_verb_long,0.967
recursion_pp_verb_medium,0.927
recursion_pp_verb_short,0.936
sentential_negation_npi_licensor_present,0.136
sentential_negation_npi_scope,0.525
subj_aux_agreement_question_vary_aux,0.609
subj_aux_agreement_question_vary_subj,0.473
subj_aux_vary_subj,0.754
subj_aux_vary_verb,0.879
subj_aux_vary_verb_pp,0.19
subj_aux_vary_verb_rc,0.322
subj_verb_vary_verb,0.669
svo_vos,0.675
swapped_ditransitive_1,0.893
swapped_ditransitive_2,0.818
transitive,0.898
wh_island,0.78
wh_questions_object_gap,0.244
wh_questions_object_gap_long_distance,0.304
wh_questions_subject_gap,0.844
wh_questions_subject_gap_long_distance,0.928
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.997
wh_vs_that_with_gap,0.172
wh_vs_that_with_gap_long_distance,0.05
