,best
adjunct_island,0.813
adv_order,0.451
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.468
center_embedding_double_1,0.451
center_embedding_double_2,0.878
center_embedding_single_1,0.379
center_embedding_single_2,0.796
complex_np_island,0.398
coordinate_structure_constrain_object_extraction,0.49
determiner_noun_agreement_1,0.503
determiner_noun_agreement_2,0.64
determiner_noun_agreement_adj_1,0.517
determiner_noun_agreement_adj_2,0.575
ellipsis,0.278
green_ideas,0.515
intransitive,0.628
left_branch_island_simple_question,0.048
matrix_question_npi_licensor_present,0.032
npi_present,0.469
only_npi_licensor_present,0.22
only_npi_scope,0.134
pp_order,0.365
principle_A_c_command,0.494
principle_A_domain_1,1.0
principle_A_domain_2,0.501
principle_A_domain_3,0.473
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.568
recursion_poss_ditransitive_medium,0.617
recursion_poss_ditransitive_short,0.695
recursion_poss_transitive_long,0.771
recursion_poss_transitive_medium,0.771
recursion_poss_transitive_short,0.815
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,0.992
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.928
sentential_negation_npi_licensor_present,0.392
sentential_negation_npi_scope,0.622
subj_aux_agreement_question_vary_aux,0.413
subj_aux_agreement_question_vary_subj,0.488
subj_aux_vary_subj,0.579
subj_aux_vary_verb,0.787
subj_aux_vary_verb_pp,0.435
subj_aux_vary_verb_rc,0.455
subj_verb_vary_verb,0.498
svo_vos,0.585
swapped_ditransitive_1,0.823
swapped_ditransitive_2,0.77
transitive,0.82
wh_island,0.994
wh_questions_object_gap,0.054
wh_questions_object_gap_long_distance,0.042
wh_questions_subject_gap,0.739
wh_questions_subject_gap_long_distance,0.788
wh_vs_that_no_gap,0.909
wh_vs_that_no_gap_long_distance,0.808
wh_vs_that_with_gap,0.583
wh_vs_that_with_gap_long_distance,0.604
