,checkpoint-8000
adjunct_island,0.864
adv_order,0.823
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.501
center_embedding_double_1,0.31
center_embedding_double_2,0.986
center_embedding_single_1,0.187
center_embedding_single_2,0.995
complex_np_island,0.473
coordinate_structure_constrain_object_extraction,0.677
determiner_noun_agreement_1,0.535
determiner_noun_agreement_2,0.604
determiner_noun_agreement_adj_1,0.517
determiner_noun_agreement_adj_2,0.601
ellipsis,0.334
green_ideas,0.584
intransitive,0.697
left_branch_island_simple_question,0.114
matrix_question_npi_licensor_present,0.559
npi_present,0.414
only_npi_licensor_present,0.8
only_npi_scope,0.999
pp_order,0.744
principle_A_c_command,0.491
principle_A_domain_1,1.0
principle_A_domain_2,0.526
principle_A_domain_3,0.485
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.662
recursion_poss_ditransitive_medium,0.691
recursion_poss_ditransitive_short,0.721
recursion_poss_transitive_long,0.514
recursion_poss_transitive_medium,0.634
recursion_poss_transitive_short,0.813
recursion_pp_is_long,0.537
recursion_pp_is_medium,0.485
recursion_pp_is_short,0.744
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,0.999
recursion_pp_verb_short,0.941
sentential_negation_npi_licensor_present,0.264
sentential_negation_npi_scope,0.284
subj_aux_agreement_question_vary_aux,0.542
subj_aux_agreement_question_vary_subj,0.481
subj_aux_vary_subj,0.547
subj_aux_vary_verb,0.715
subj_aux_vary_verb_pp,0.347
subj_aux_vary_verb_rc,0.422
subj_verb_vary_verb,0.484
svo_vos,0.525
swapped_ditransitive_1,0.915
swapped_ditransitive_2,0.924
transitive,0.882
wh_island,0.956
wh_questions_object_gap,0.177
wh_questions_object_gap_long_distance,0.194
wh_questions_subject_gap,0.903
wh_questions_subject_gap_long_distance,0.959
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.078
wh_vs_that_with_gap_long_distance,0.05
