,best
adjunct_island,0.9
adv_order,0.394
wh_vs_that_with_gap,0.588
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.473
recursion_pp_verb_long,0.966
center_embedding_double_1,0.42
recursion_pp_verb_medium,0.999
center_embedding_double_2,0.896
recursion_pp_verb_short,1.0
center_embedding_single_1,0.399
subj_aux_vary_verb_rc,0.439
center_embedding_single_2,0.773
complex_np_island,0.532
recursion_poss_transitive_medium,0.837
coordinate_structure_constrain_object_extraction,0.475
subj_aux_vary_verb_pp,0.4
determiner_noun_agreement_1,0.535
subj_verb_vary_verb,0.48
determiner_noun_agreement_2,0.643
svo_vos,0.561
determiner_noun_agreement_adj_1,0.528
swapped_ditransitive_1,0.899
determiner_noun_agreement_adj_2,0.584
ellipsis,0.493
green_ideas,0.463
intransitive,0.683
recursion_poss_transitive_short,0.851
left_branch_island_simple_question,0.101
recursion_pp_is_long,0.001
matrix_question_npi_licensor_present,0.064
npi_present,0.418
swapped_ditransitive_2,0.812
only_npi_licensor_present,0.955
only_npi_scope,0.227
pp_order,0.358
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.503
principle_A_domain_3,0.476
transitive,0.843
recursion_intensifier_adj_long,1.0
wh_island,0.988
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.092
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.566
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.09
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.726
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.754
recursion_poss_ditransitive_long,0.535
recursion_pp_is_medium,0.0
recursion_poss_ditransitive_medium,0.525
recursion_pp_is_short,0.0
recursion_poss_ditransitive_short,0.549
wh_vs_that_no_gap,0.908
recursion_poss_transitive_long,0.873
subj_aux_agreement_question_vary_subj,0.494
sentential_negation_npi_licensor_present,0.283
wh_vs_that_no_gap_long_distance,0.82
sentential_negation_npi_scope,0.652
subj_aux_vary_subj,0.585
subj_aux_agreement_question_vary_aux,0.417
subj_aux_vary_verb,0.77
