,best
adjunct_island,0.668
adv_order,0.511
anaphor_gender_agreement,0.504
anaphor_number_agreement,0.446
center_embedding_double_1,0.506
center_embedding_double_2,0.935
center_embedding_single_1,0.371
center_embedding_single_2,0.947
complex_np_island,0.472
coordinate_structure_constrain_object_extraction,0.298
determiner_noun_agreement_1,0.477
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.519
determiner_noun_agreement_adj_2,0.602
ellipsis,0.221
green_ideas,0.4
intransitive,0.491
left_branch_island_simple_question,0.163
matrix_question_npi_licensor_present,0.46
npi_present,0.464
only_npi_licensor_present,0.769
only_npi_scope,0.516
pp_order,0.427
principle_A_c_command,0.486
principle_A_domain_1,1.0
principle_A_domain_2,0.507
principle_A_domain_3,0.484
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.59
recursion_poss_ditransitive_medium,0.608
recursion_poss_ditransitive_short,0.606
recursion_poss_transitive_long,0.878
recursion_poss_transitive_medium,0.92
recursion_poss_transitive_short,0.954
recursion_pp_is_long,0.501
recursion_pp_is_medium,0.297
recursion_pp_is_short,0.232
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.768
sentential_negation_npi_scope,0.609
subj_aux_agreement_question_vary_aux,0.478
subj_aux_agreement_question_vary_subj,0.488
subj_aux_vary_subj,0.526
subj_aux_vary_verb,0.486
subj_aux_vary_verb_pp,0.513
subj_aux_vary_verb_rc,0.514
subj_verb_vary_verb,0.387
svo_vos,0.481
swapped_ditransitive_1,0.863
swapped_ditransitive_2,0.735
transitive,0.739
wh_island,1.0
wh_questions_object_gap,0.446
wh_questions_object_gap_long_distance,0.371
wh_questions_subject_gap,0.853
wh_questions_subject_gap_long_distance,0.592
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.004
wh_vs_that_with_gap_long_distance,0.019
