,checkpoint-28000
adjunct_island,0.833
adv_order,0.935
anaphor_gender_agreement,0.523
anaphor_number_agreement,0.813
center_embedding_double_1,0.272
center_embedding_double_2,0.997
center_embedding_single_1,0.314
center_embedding_single_2,0.995
complex_np_island,0.28
coordinate_structure_constrain_object_extraction,0.439
determiner_noun_agreement_1,0.965
determiner_noun_agreement_2,0.994
determiner_noun_agreement_adj_1,0.909
determiner_noun_agreement_adj_2,0.957
ellipsis,0.495
green_ideas,0.703
intransitive,0.771
left_branch_island_simple_question,0.632
matrix_question_npi_licensor_present,0.456
npi_present,0.483
only_npi_licensor_present,0.999
only_npi_scope,0.989
pp_order,0.783
principle_A_c_command,0.465
principle_A_domain_1,1.0
principle_A_domain_2,0.604
principle_A_domain_3,0.55
recursion_intensifier_adj_long,0.998
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.006
recursion_intensifier_adv_medium,0.009
recursion_intensifier_adv_short,0.099
recursion_poss_ditransitive_long,0.985
recursion_poss_ditransitive_medium,0.985
recursion_poss_ditransitive_short,0.977
recursion_poss_transitive_long,0.628
recursion_poss_transitive_medium,0.664
recursion_poss_transitive_short,0.945
recursion_pp_is_long,0.082
recursion_pp_is_medium,0.162
recursion_pp_is_short,0.753
recursion_pp_verb_long,0.532
recursion_pp_verb_medium,0.438
recursion_pp_verb_short,0.586
sentential_negation_npi_licensor_present,0.369
sentential_negation_npi_scope,0.421
subj_aux_agreement_question_vary_aux,0.788
subj_aux_agreement_question_vary_subj,0.621
subj_aux_vary_subj,0.919
subj_aux_vary_verb,0.982
subj_aux_vary_verb_pp,0.205
subj_aux_vary_verb_rc,0.274
subj_verb_vary_verb,0.905
svo_vos,0.809
swapped_ditransitive_1,0.909
swapped_ditransitive_2,0.818
transitive,0.941
wh_island,0.65
wh_questions_object_gap,0.257
wh_questions_object_gap_long_distance,0.318
wh_questions_subject_gap,0.849
wh_questions_subject_gap_long_distance,0.9
wh_vs_that_no_gap,0.973
wh_vs_that_no_gap_long_distance,0.943
wh_vs_that_with_gap,0.361
wh_vs_that_with_gap_long_distance,0.137
