,epoch_7
adjunct_island,0.871
adv_order,0.732
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.473
center_embedding_double_1,0.367
center_embedding_double_2,0.914
center_embedding_single_1,0.314
center_embedding_single_2,0.955
complex_np_island,0.439
coordinate_structure_constrain_object_extraction,0.388
determiner_noun_agreement_1,0.489
determiner_noun_agreement_2,0.601
determiner_noun_agreement_adj_1,0.514
determiner_noun_agreement_adj_2,0.608
ellipsis,0.347
green_ideas,0.519
intransitive,0.525
left_branch_island_simple_question,0.066
matrix_question_npi_licensor_present,0.691
npi_present,0.478
only_npi_licensor_present,0.909
only_npi_scope,0.91
pp_order,0.973
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.502
principle_A_domain_3,0.456
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.346
recursion_poss_ditransitive_medium,0.415
recursion_poss_ditransitive_short,0.606
recursion_poss_transitive_long,0.978
recursion_poss_transitive_medium,0.977
recursion_poss_transitive_short,0.978
recursion_pp_is_long,0.713
recursion_pp_is_medium,0.73
recursion_pp_is_short,0.55
recursion_pp_verb_long,0.87
recursion_pp_verb_medium,0.912
recursion_pp_verb_short,0.85
sentential_negation_npi_licensor_present,0.508
sentential_negation_npi_scope,0.407
subj_aux_agreement_question_vary_aux,0.676
subj_aux_agreement_question_vary_subj,0.499
subj_aux_vary_subj,0.574
subj_aux_vary_verb,0.591
subj_aux_vary_verb_pp,0.447
subj_aux_vary_verb_rc,0.465
subj_verb_vary_verb,0.402
svo_vos,0.494
swapped_ditransitive_1,0.895
swapped_ditransitive_2,0.939
transitive,0.77
wh_island,0.988
wh_questions_object_gap,0.098
wh_questions_object_gap_long_distance,0.089
wh_questions_subject_gap,0.727
wh_questions_subject_gap_long_distance,0.797
wh_vs_that_no_gap,0.995
wh_vs_that_no_gap_long_distance,0.955
wh_vs_that_with_gap,0.398
wh_vs_that_with_gap_long_distance,0.415
