,checkpoint-16000
adjunct_island,0.879
adv_order,0.71
anaphor_gender_agreement,0.49
anaphor_number_agreement,0.685
center_embedding_double_1,0.298
center_embedding_double_2,0.998
center_embedding_single_1,0.263
center_embedding_single_2,1.0
complex_np_island,0.218
coordinate_structure_constrain_object_extraction,0.378
determiner_noun_agreement_1,0.907
determiner_noun_agreement_2,0.961
determiner_noun_agreement_adj_1,0.7
determiner_noun_agreement_adj_2,0.749
ellipsis,0.285
green_ideas,0.743
intransitive,0.598
left_branch_island_simple_question,0.148
matrix_question_npi_licensor_present,0.586
npi_present,0.218
only_npi_licensor_present,0.933
only_npi_scope,1.0
pp_order,0.702
principle_A_c_command,0.414
principle_A_domain_1,1.0
principle_A_domain_2,0.577
principle_A_domain_3,0.497
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.981
recursion_poss_ditransitive_medium,0.963
recursion_poss_ditransitive_short,0.934
recursion_poss_transitive_long,0.692
recursion_poss_transitive_medium,0.78
recursion_poss_transitive_short,0.971
recursion_pp_is_long,0.179
recursion_pp_is_medium,0.31
recursion_pp_is_short,0.79
recursion_pp_verb_long,0.993
recursion_pp_verb_medium,0.991
recursion_pp_verb_short,0.995
sentential_negation_npi_licensor_present,0.183
sentential_negation_npi_scope,0.466
subj_aux_agreement_question_vary_aux,0.557
subj_aux_agreement_question_vary_subj,0.46
subj_aux_vary_subj,0.759
subj_aux_vary_verb,0.967
subj_aux_vary_verb_pp,0.087
subj_aux_vary_verb_rc,0.296
subj_verb_vary_verb,0.75
svo_vos,0.616
swapped_ditransitive_1,0.925
swapped_ditransitive_2,0.933
transitive,0.923
wh_island,0.676
wh_questions_object_gap,0.211
wh_questions_object_gap_long_distance,0.209
wh_questions_subject_gap,0.849
wh_questions_subject_gap_long_distance,0.964
wh_vs_that_no_gap,0.999
wh_vs_that_no_gap_long_distance,0.995
wh_vs_that_with_gap,0.163
wh_vs_that_with_gap_long_distance,0.044
