,best
adjunct_island,0.842
adv_order,0.446
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.474
center_embedding_double_1,0.456
center_embedding_double_2,0.863
center_embedding_single_1,0.383
center_embedding_single_2,0.779
complex_np_island,0.407
coordinate_structure_constrain_object_extraction,0.473
determiner_noun_agreement_1,0.499
determiner_noun_agreement_2,0.645
determiner_noun_agreement_adj_1,0.514
determiner_noun_agreement_adj_2,0.581
ellipsis,0.292
green_ideas,0.505
intransitive,0.634
left_branch_island_simple_question,0.053
matrix_question_npi_licensor_present,0.033
npi_present,0.471
only_npi_licensor_present,0.462
only_npi_scope,0.142
pp_order,0.368
principle_A_c_command,0.494
principle_A_domain_1,1.0
principle_A_domain_2,0.501
principle_A_domain_3,0.479
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.594
recursion_poss_ditransitive_medium,0.625
recursion_poss_ditransitive_short,0.693
recursion_poss_transitive_long,0.779
recursion_poss_transitive_medium,0.779
recursion_poss_transitive_short,0.823
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,0.997
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.929
sentential_negation_npi_licensor_present,0.369
sentential_negation_npi_scope,0.607
subj_aux_agreement_question_vary_aux,0.413
subj_aux_agreement_question_vary_subj,0.484
subj_aux_vary_subj,0.577
subj_aux_vary_verb,0.793
subj_aux_vary_verb_pp,0.433
subj_aux_vary_verb_rc,0.453
subj_verb_vary_verb,0.501
svo_vos,0.597
swapped_ditransitive_1,0.827
swapped_ditransitive_2,0.763
transitive,0.82
wh_island,0.995
wh_questions_object_gap,0.051
wh_questions_object_gap_long_distance,0.041
wh_questions_subject_gap,0.731
wh_questions_subject_gap_long_distance,0.78
wh_vs_that_no_gap,0.904
wh_vs_that_no_gap_long_distance,0.817
wh_vs_that_with_gap,0.587
wh_vs_that_with_gap_long_distance,0.608
