,checkpoint-24000
adjunct_island,0.904
adv_order,0.9
anaphor_gender_agreement,0.563
anaphor_number_agreement,0.751
center_embedding_double_1,0.231
center_embedding_double_2,0.999
center_embedding_single_1,0.195
center_embedding_single_2,0.995
complex_np_island,0.24
coordinate_structure_constrain_object_extraction,0.338
determiner_noun_agreement_1,0.965
determiner_noun_agreement_2,0.996
determiner_noun_agreement_adj_1,0.887
determiner_noun_agreement_adj_2,0.92
ellipsis,0.542
green_ideas,0.8
intransitive,0.817
left_branch_island_simple_question,0.46
matrix_question_npi_licensor_present,0.49
npi_present,0.518
only_npi_licensor_present,0.919
only_npi_scope,0.806
pp_order,0.743
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.58
principle_A_domain_3,0.526
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.003
recursion_intensifier_adv_short,0.035
recursion_poss_ditransitive_long,0.749
recursion_poss_ditransitive_medium,0.793
recursion_poss_ditransitive_short,0.935
recursion_poss_transitive_long,0.815
recursion_poss_transitive_medium,0.895
recursion_poss_transitive_short,0.985
recursion_pp_is_long,0.043
recursion_pp_is_medium,0.12
recursion_pp_is_short,0.765
recursion_pp_verb_long,0.45
recursion_pp_verb_medium,0.493
recursion_pp_verb_short,0.598
sentential_negation_npi_licensor_present,0.24
sentential_negation_npi_scope,0.514
subj_aux_agreement_question_vary_aux,0.754
subj_aux_agreement_question_vary_subj,0.608
subj_aux_vary_subj,0.932
subj_aux_vary_verb,0.983
subj_aux_vary_verb_pp,0.226
subj_aux_vary_verb_rc,0.3
subj_verb_vary_verb,0.881
svo_vos,0.757
swapped_ditransitive_1,0.793
swapped_ditransitive_2,0.752
transitive,0.928
wh_island,0.782
wh_questions_object_gap,0.122
wh_questions_object_gap_long_distance,0.174
wh_questions_subject_gap,0.802
wh_questions_subject_gap_long_distance,0.905
wh_vs_that_no_gap,0.974
wh_vs_that_no_gap_long_distance,0.983
wh_vs_that_with_gap,0.394
wh_vs_that_with_gap_long_distance,0.097
