,checkpoint-12000
adjunct_island,0.881
adv_order,0.849
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.607
center_embedding_double_1,0.301
center_embedding_double_2,0.982
center_embedding_single_1,0.26
center_embedding_single_2,0.996
complex_np_island,0.293
coordinate_structure_constrain_object_extraction,0.46
determiner_noun_agreement_1,0.761
determiner_noun_agreement_2,0.868
determiner_noun_agreement_adj_1,0.547
determiner_noun_agreement_adj_2,0.632
ellipsis,0.322
green_ideas,0.654
intransitive,0.604
left_branch_island_simple_question,0.061
matrix_question_npi_licensor_present,0.205
npi_present,0.239
only_npi_licensor_present,0.617
only_npi_scope,0.956
pp_order,0.686
principle_A_c_command,0.478
principle_A_domain_1,1.0
principle_A_domain_2,0.531
principle_A_domain_3,0.503
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.853
recursion_poss_ditransitive_medium,0.852
recursion_poss_ditransitive_short,0.82
recursion_poss_transitive_long,0.668
recursion_poss_transitive_medium,0.746
recursion_poss_transitive_short,0.925
recursion_pp_is_long,0.541
recursion_pp_is_medium,0.563
recursion_pp_is_short,0.779
recursion_pp_verb_long,0.991
recursion_pp_verb_medium,0.996
recursion_pp_verb_short,0.995
sentential_negation_npi_licensor_present,0.001
sentential_negation_npi_scope,0.526
subj_aux_agreement_question_vary_aux,0.515
subj_aux_agreement_question_vary_subj,0.472
subj_aux_vary_subj,0.658
subj_aux_vary_verb,0.877
subj_aux_vary_verb_pp,0.095
subj_aux_vary_verb_rc,0.264
subj_verb_vary_verb,0.48
svo_vos,0.576
swapped_ditransitive_1,0.9
swapped_ditransitive_2,0.929
transitive,0.884
wh_island,0.833
wh_questions_object_gap,0.218
wh_questions_object_gap_long_distance,0.218
wh_questions_subject_gap,0.893
wh_questions_subject_gap_long_distance,0.979
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.114
wh_vs_that_with_gap_long_distance,0.042
