,checkpoint-20000
adjunct_island,0.774
adv_order,0.887
anaphor_gender_agreement,0.506
anaphor_number_agreement,0.775
center_embedding_double_1,0.262
center_embedding_double_2,1.0
center_embedding_single_1,0.254
center_embedding_single_2,0.998
complex_np_island,0.236
coordinate_structure_constrain_object_extraction,0.332
determiner_noun_agreement_1,0.912
determiner_noun_agreement_2,0.981
determiner_noun_agreement_adj_1,0.732
determiner_noun_agreement_adj_2,0.845
ellipsis,0.403
green_ideas,0.677
intransitive,0.757
left_branch_island_simple_question,0.447
matrix_question_npi_licensor_present,0.446
npi_present,0.388
only_npi_licensor_present,0.991
only_npi_scope,0.984
pp_order,0.703
principle_A_c_command,0.488
principle_A_domain_1,1.0
principle_A_domain_2,0.529
principle_A_domain_3,0.491
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.015
recursion_poss_ditransitive_long,0.982
recursion_poss_ditransitive_medium,0.967
recursion_poss_ditransitive_short,0.989
recursion_poss_transitive_long,0.743
recursion_poss_transitive_medium,0.837
recursion_poss_transitive_short,0.981
recursion_pp_is_long,0.158
recursion_pp_is_medium,0.187
recursion_pp_is_short,0.619
recursion_pp_verb_long,0.312
recursion_pp_verb_medium,0.402
recursion_pp_verb_short,0.695
sentential_negation_npi_licensor_present,0.229
sentential_negation_npi_scope,0.396
subj_aux_agreement_question_vary_aux,0.667
subj_aux_agreement_question_vary_subj,0.552
subj_aux_vary_subj,0.858
subj_aux_vary_verb,0.985
subj_aux_vary_verb_pp,0.118
subj_aux_vary_verb_rc,0.279
subj_verb_vary_verb,0.904
svo_vos,0.793
swapped_ditransitive_1,0.873
swapped_ditransitive_2,0.781
transitive,0.936
wh_island,0.682
wh_questions_object_gap,0.137
wh_questions_object_gap_long_distance,0.213
wh_questions_subject_gap,0.819
wh_questions_subject_gap_long_distance,0.943
wh_vs_that_no_gap,0.971
wh_vs_that_no_gap_long_distance,0.958
wh_vs_that_with_gap,0.441
wh_vs_that_with_gap_long_distance,0.167
