,best
adjunct_island,0.455
adv_order,0.415
anaphor_gender_agreement,0.492
anaphor_number_agreement,0.496
center_embedding_double_1,0.324
center_embedding_double_2,0.659
center_embedding_single_1,0.303
center_embedding_single_2,0.523
complex_np_island,0.424
coordinate_structure_constrain_object_extraction,0.264
determiner_noun_agreement_1,0.483
determiner_noun_agreement_2,0.506
determiner_noun_agreement_adj_1,0.463
determiner_noun_agreement_adj_2,0.5
ellipsis,0.47
green_ideas,0.589
intransitive,0.447
left_branch_island_simple_question,0.404
matrix_question_npi_licensor_present,0.397
npi_present,0.289
only_npi_licensor_present,0.723
only_npi_scope,0.596
pp_order,0.63
principle_A_c_command,0.487
principle_A_domain_1,0.608
principle_A_domain_2,0.515
principle_A_domain_3,0.503
recursion_intensifier_adj_long,0.666
recursion_intensifier_adj_medium,0.703
recursion_intensifier_adj_short,0.78
recursion_intensifier_adv_long,0.334
recursion_intensifier_adv_medium,0.286
recursion_intensifier_adv_short,0.217
recursion_poss_ditransitive_long,0.74
recursion_poss_ditransitive_medium,0.717
recursion_poss_ditransitive_short,0.654
recursion_poss_transitive_long,0.837
recursion_poss_transitive_medium,0.813
recursion_poss_transitive_short,0.909
recursion_pp_is_long,0.538
recursion_pp_is_medium,0.394
recursion_pp_is_short,0.633
recursion_pp_verb_long,0.008
recursion_pp_verb_medium,0.042
recursion_pp_verb_short,0.058
sentential_negation_npi_licensor_present,0.159
sentential_negation_npi_scope,0.568
subj_aux_agreement_question_vary_aux,0.485
subj_aux_agreement_question_vary_subj,0.469
subj_aux_vary_subj,0.523
subj_aux_vary_verb,0.543
subj_aux_vary_verb_pp,0.523
subj_aux_vary_verb_rc,0.496
subj_verb_vary_verb,0.447
svo_vos,0.297
swapped_ditransitive_1,0.575
swapped_ditransitive_2,0.647
transitive,0.485
wh_island,0.901
wh_questions_object_gap,0.583
wh_questions_object_gap_long_distance,0.604
wh_questions_subject_gap,0.53
wh_questions_subject_gap_long_distance,0.465
wh_vs_that_no_gap,0.998
wh_vs_that_no_gap_long_distance,0.997
wh_vs_that_with_gap,0.105
wh_vs_that_with_gap_long_distance,0.223
