,checkpoint-2000
adjunct_island,0.356
adv_order,0.411
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.533
center_embedding_double_1,0.001
center_embedding_double_2,0.992
center_embedding_single_1,0.0
center_embedding_single_2,1.0
complex_np_island,0.629
coordinate_structure_constrain_object_extraction,0.66
determiner_noun_agreement_1,0.478
determiner_noun_agreement_2,0.571
determiner_noun_agreement_adj_1,0.497
determiner_noun_agreement_adj_2,0.602
ellipsis,0.608
green_ideas,0.456
intransitive,0.582
left_branch_island_simple_question,0.561
matrix_question_npi_licensor_present,0.094
npi_present,0.932
only_npi_licensor_present,0.983
only_npi_scope,0.723
pp_order,0.427
principle_A_c_command,0.537
principle_A_domain_1,0.496
principle_A_domain_2,0.483
principle_A_domain_3,0.511
recursion_intensifier_adj_long,0.424
recursion_intensifier_adj_medium,0.508
recursion_intensifier_adj_short,0.638
recursion_intensifier_adv_long,0.609
recursion_intensifier_adv_medium,0.535
recursion_intensifier_adv_short,0.362
recursion_poss_ditransitive_long,0.905
recursion_poss_ditransitive_medium,0.948
recursion_poss_ditransitive_short,0.884
recursion_poss_transitive_long,0.378
recursion_poss_transitive_medium,0.365
recursion_poss_transitive_short,0.455
recursion_pp_is_long,0.92
recursion_pp_is_medium,0.962
recursion_pp_is_short,0.999
recursion_pp_verb_long,0.012
recursion_pp_verb_medium,0.004
recursion_pp_verb_short,0.001
sentential_negation_npi_licensor_present,0.68
sentential_negation_npi_scope,0.605
subj_aux_agreement_question_vary_aux,0.43
subj_aux_agreement_question_vary_subj,0.522
subj_aux_vary_subj,0.503
subj_aux_vary_verb,0.533
subj_aux_vary_verb_pp,0.47
subj_aux_vary_verb_rc,0.501
subj_verb_vary_verb,0.517
svo_vos,0.655
swapped_ditransitive_1,0.577
swapped_ditransitive_2,0.514
transitive,0.473
wh_island,0.274
wh_questions_object_gap,0.736
wh_questions_object_gap_long_distance,0.695
wh_questions_subject_gap,0.612
wh_questions_subject_gap_long_distance,0.551
wh_vs_that_no_gap,0.441
wh_vs_that_no_gap_long_distance,0.271
wh_vs_that_with_gap,0.322
wh_vs_that_with_gap_long_distance,0.458
