,best
agreement_determiner_noun-across_1_adjective,0.6235
agreement_determiner_noun-between_neighbors,0.737
agreement_subject_verb-across_prepositional_phrase,0.558
agreement_subject_verb-across_relative_clause,0.557
agreement_subject_verb-in_question_with_aux,0.5205
agreement_subject_verb-in_simple_question,0.533
anaphor_agreement-pronoun_gender,0.5525
argument_structure-dropped_argument,0.863
argument_structure-swapped_arguments,0.999
argument_structure-transitive,0.609
binding-principle_a,0.581
case-subjective_pronoun,0.985
ellipsis-n_bar,0.4265
filler-gap-wh_question_object,0.5115
filler-gap-wh_question_subject,0.76
irregular-verb,0.6645
island-effects-adjunct_island,0.6825
island-effects-coordinate_structure_constraint,0.4885
local_attractor-in_question_with_aux,0.656
npi_licensing-matrix_question,0.377
npi_licensing-only_npi_licensor,0.7285
quantifiers-existential_there,0.8865
quantifiers-superlative,0.4575
