,checkpoint-8000
agreement_determiner_noun-across_1_adjective,0.498
agreement_determiner_noun-between_neighbors,0.472
agreement_subject_verb-across_prepositional_phrase,0.5005
agreement_subject_verb-across_relative_clause,0.498
agreement_subject_verb-in_question_with_aux,0.5025
agreement_subject_verb-in_simple_question,0.5035
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.8985
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.663
binding-principle_a,0.563
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2385
filler-gap-wh_question_object,0.8315
filler-gap-wh_question_subject,1.0
irregular-verb,0.8695
island-effects-adjunct_island,0.534
island-effects-coordinate_structure_constraint,0.556
local_attractor-in_question_with_aux,0.535
npi_licensing-matrix_question,0.7105
npi_licensing-only_npi_licensor,0.4065
quantifiers-existential_there,0.7195
quantifiers-superlative,0.509
