,best
agreement_determiner_noun-across_1_adjective,0.509
agreement_determiner_noun-between_neighbors,0.5585
agreement_subject_verb-across_prepositional_phrase,0.5095
agreement_subject_verb-across_relative_clause,0.5045
agreement_subject_verb-in_question_with_aux,0.491
agreement_subject_verb-in_simple_question,0.506
anaphor_agreement-pronoun_gender,0.493
argument_structure-dropped_argument,0.7695
argument_structure-swapped_arguments,0.992
argument_structure-transitive,0.642
binding-principle_a,0.3905
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.5475
filler-gap-wh_question_object,0.2725
filler-gap-wh_question_subject,0.932
irregular-verb,0.6765
island-effects-adjunct_island,0.4355
island-effects-coordinate_structure_constraint,0.55
local_attractor-in_question_with_aux,0.6425
npi_licensing-matrix_question,0.201
npi_licensing-only_npi_licensor,0.434
quantifiers-existential_there,0.718
quantifiers-superlative,0.509
