,best
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.527
agreement_subject_verb-across_prepositional_phrase,0.5025
agreement_subject_verb-across_relative_clause,0.5185
agreement_subject_verb-in_question_with_aux,0.496
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.91
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6215
binding-principle_a,0.3405
case-subjective_pronoun,1.0
ellipsis-n_bar,0.179
filler-gap-wh_question_object,0.372
filler-gap-wh_question_subject,0.71
irregular-verb,0.574
island-effects-adjunct_island,0.616
island-effects-coordinate_structure_constraint,0.4935
local_attractor-in_question_with_aux,0.5195
npi_licensing-matrix_question,0.1905
npi_licensing-only_npi_licensor,0.323
quantifiers-existential_there,0.7085
quantifiers-superlative,0.4885
