,checkpoint-36000
agreement_determiner_noun-across_1_adjective,0.825
agreement_determiner_noun-between_neighbors,0.868
agreement_subject_verb-across_prepositional_phrase,0.6435
agreement_subject_verb-across_relative_clause,0.6305
agreement_subject_verb-in_question_with_aux,0.7125
agreement_subject_verb-in_simple_question,0.7945
anaphor_agreement-pronoun_gender,0.8885
argument_structure-dropped_argument,0.931
argument_structure-swapped_arguments,0.987
argument_structure-transitive,0.7235
binding-principle_a,0.8335
case-subjective_pronoun,0.997
ellipsis-n_bar,0.453
filler-gap-wh_question_object,0.877
filler-gap-wh_question_subject,0.9535
irregular-verb,0.9465
island-effects-adjunct_island,0.563
island-effects-coordinate_structure_constraint,0.7435
local_attractor-in_question_with_aux,0.952
npi_licensing-matrix_question,0.62
npi_licensing-only_npi_licensor,0.9495
quantifiers-existential_there,0.956
quantifiers-superlative,0.9745
