,checkpoint-20000
agreement_determiner_noun-across_1_adjective,0.7965
agreement_determiner_noun-between_neighbors,0.845
agreement_subject_verb-across_prepositional_phrase,0.5745
agreement_subject_verb-across_relative_clause,0.5855
agreement_subject_verb-in_question_with_aux,0.613
agreement_subject_verb-in_simple_question,0.7275
anaphor_agreement-pronoun_gender,0.6435
argument_structure-dropped_argument,0.928
argument_structure-swapped_arguments,0.983
argument_structure-transitive,0.725
binding-principle_a,0.7215
case-subjective_pronoun,0.993
ellipsis-n_bar,0.437
filler-gap-wh_question_object,0.901
filler-gap-wh_question_subject,0.99
irregular-verb,0.9505
island-effects-adjunct_island,0.525
island-effects-coordinate_structure_constraint,0.7035
local_attractor-in_question_with_aux,0.918
npi_licensing-matrix_question,0.3335
npi_licensing-only_npi_licensor,0.7755
quantifiers-existential_there,0.9515
quantifiers-superlative,0.98
