,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.519
agreement_subject_verb-across_prepositional_phrase,0.5165
agreement_subject_verb-across_relative_clause,0.5015
agreement_subject_verb-in_question_with_aux,0.508
agreement_subject_verb-in_simple_question,0.5005
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.9315
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6045
binding-principle_a,0.3815
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3205
filler-gap-wh_question_object,0.3295
filler-gap-wh_question_subject,0.652
irregular-verb,0.592
island-effects-adjunct_island,0.7095
island-effects-coordinate_structure_constraint,0.554
local_attractor-in_question_with_aux,0.3995
npi_licensing-matrix_question,0.4615
npi_licensing-only_npi_licensor,0.9855
quantifiers-existential_there,0.656
quantifiers-superlative,0.509
