,checkpoint-24000
agreement_determiner_noun-across_1_adjective,0.7935
agreement_determiner_noun-between_neighbors,0.861
agreement_subject_verb-across_prepositional_phrase,0.559
agreement_subject_verb-across_relative_clause,0.6285
agreement_subject_verb-in_question_with_aux,0.7175
agreement_subject_verb-in_simple_question,0.61
anaphor_agreement-pronoun_gender,0.7935
argument_structure-dropped_argument,0.925
argument_structure-swapped_arguments,0.9835
argument_structure-transitive,0.69
binding-principle_a,0.829
case-subjective_pronoun,1.0
ellipsis-n_bar,0.4625
filler-gap-wh_question_object,0.8695
filler-gap-wh_question_subject,0.9475
irregular-verb,0.9185
island-effects-adjunct_island,0.5515
island-effects-coordinate_structure_constraint,0.706
local_attractor-in_question_with_aux,0.746
npi_licensing-matrix_question,0.6345
npi_licensing-only_npi_licensor,0.893
quantifiers-existential_there,0.8935
quantifiers-superlative,0.9265
