,checkpoint-4000
agreement_determiner_noun-across_1_adjective,0.5035
agreement_determiner_noun-between_neighbors,0.5105
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.5
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.4965
anaphor_agreement-pronoun_gender,0.523
argument_structure-dropped_argument,0.685
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.4475
binding-principle_a,0.476
case-subjective_pronoun,1.0
ellipsis-n_bar,0.537
filler-gap-wh_question_object,0.9325
filler-gap-wh_question_subject,1.0
irregular-verb,0.497
island-effects-adjunct_island,0.4025
island-effects-coordinate_structure_constraint,0.1765
local_attractor-in_question_with_aux,0.8725
npi_licensing-matrix_question,0.797
npi_licensing-only_npi_licensor,0.033
quantifiers-existential_there,0.729
quantifiers-superlative,0.509
