,best
agreement_determiner_noun-across_1_adjective,0.5105
agreement_determiner_noun-between_neighbors,0.498
agreement_subject_verb-across_prepositional_phrase,0.52
agreement_subject_verb-across_relative_clause,0.507
agreement_subject_verb-in_question_with_aux,0.495
agreement_subject_verb-in_simple_question,0.4965
anaphor_agreement-pronoun_gender,0.4905
argument_structure-dropped_argument,0.705
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.507
binding-principle_a,0.4735
case-subjective_pronoun,1.0
ellipsis-n_bar,0.4185
filler-gap-wh_question_object,0.1805
filler-gap-wh_question_subject,0.84
irregular-verb,0.543
island-effects-adjunct_island,0.3285
island-effects-coordinate_structure_constraint,0.5155
local_attractor-in_question_with_aux,0.7545
npi_licensing-matrix_question,0.438
npi_licensing-only_npi_licensor,0.3605
quantifiers-existential_there,0.69
quantifiers-superlative,0.379
