,checkpoint-20000
agreement_determiner_noun-across_1_adjective,0.766
agreement_determiner_noun-between_neighbors,0.818
agreement_subject_verb-across_prepositional_phrase,0.5265
agreement_subject_verb-across_relative_clause,0.573
agreement_subject_verb-in_question_with_aux,0.596
agreement_subject_verb-in_simple_question,0.608
anaphor_agreement-pronoun_gender,0.6325
argument_structure-dropped_argument,0.936
argument_structure-swapped_arguments,0.9565
argument_structure-transitive,0.709
binding-principle_a,0.721
case-subjective_pronoun,0.999
ellipsis-n_bar,0.422
filler-gap-wh_question_object,0.8055
filler-gap-wh_question_subject,0.972
irregular-verb,0.911
island-effects-adjunct_island,0.4995
island-effects-coordinate_structure_constraint,0.6955
local_attractor-in_question_with_aux,0.928
npi_licensing-matrix_question,0.563
npi_licensing-only_npi_licensor,0.9935
quantifiers-existential_there,0.95
quantifiers-superlative,0.9735
