,best
agreement_determiner_noun-across_1_adjective,0.513
agreement_determiner_noun-between_neighbors,0.5255
agreement_subject_verb-across_prepositional_phrase,0.501
agreement_subject_verb-across_relative_clause,0.5025
agreement_subject_verb-in_question_with_aux,0.496
agreement_subject_verb-in_simple_question,0.4925
anaphor_agreement-pronoun_gender,0.523
argument_structure-dropped_argument,0.911
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.589
binding-principle_a,0.3245
case-subjective_pronoun,1.0
ellipsis-n_bar,0.267
filler-gap-wh_question_object,0.3165
filler-gap-wh_question_subject,0.982
irregular-verb,0.6125
island-effects-adjunct_island,0.6805
island-effects-coordinate_structure_constraint,0.351
local_attractor-in_question_with_aux,0.5995
npi_licensing-matrix_question,0.3425
npi_licensing-only_npi_licensor,0.969
quantifiers-existential_there,0.716
quantifiers-superlative,0.4495
