,checkpoint-2000
agreement_determiner_noun-across_1_adjective,0.483
agreement_determiner_noun-between_neighbors,0.459
agreement_subject_verb-across_prepositional_phrase,0.5135
agreement_subject_verb-across_relative_clause,0.517
agreement_subject_verb-in_question_with_aux,0.4775
agreement_subject_verb-in_simple_question,0.5045
anaphor_agreement-pronoun_gender,0.46
argument_structure-dropped_argument,0.5085
argument_structure-swapped_arguments,0.896
argument_structure-transitive,0.486
binding-principle_a,0.405
case-subjective_pronoun,0.892
ellipsis-n_bar,0.498
filler-gap-wh_question_object,0.579
filler-gap-wh_question_subject,0.5235
irregular-verb,0.482
island-effects-adjunct_island,0.5545
island-effects-coordinate_structure_constraint,0.357
local_attractor-in_question_with_aux,0.5715
npi_licensing-matrix_question,0.654
npi_licensing-only_npi_licensor,0.973
quantifiers-existential_there,0.548
quantifiers-superlative,0.0
