,checkpoint-24000
agreement_determiner_noun-across_1_adjective,0.8605
agreement_determiner_noun-between_neighbors,0.9065
agreement_subject_verb-across_prepositional_phrase,0.5635
agreement_subject_verb-across_relative_clause,0.625
agreement_subject_verb-in_question_with_aux,0.666
agreement_subject_verb-in_simple_question,0.776
anaphor_agreement-pronoun_gender,0.6895
argument_structure-dropped_argument,0.9295
argument_structure-swapped_arguments,0.987
argument_structure-transitive,0.7025
binding-principle_a,0.797
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3595
filler-gap-wh_question_object,0.872
filler-gap-wh_question_subject,0.93
irregular-verb,0.8995
island-effects-adjunct_island,0.577
island-effects-coordinate_structure_constraint,0.8085
local_attractor-in_question_with_aux,0.954
npi_licensing-matrix_question,0.554
npi_licensing-only_npi_licensor,0.999
quantifiers-existential_there,0.972
quantifiers-superlative,0.973
