,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 912.43798828125), (1, 1054.07080078125)]","[(0, 1504.9937744140625), (1, 1550.943359375)]","[(0, 1161.297119140625), (1, 953.3444213867188)]","[(0, 979.7464599609375), (1, 766.4141235351562)]","[(0, 1619.2974853515625), (1, 1692.3609619140625)]","[(0, 1241.42578125), (1, 709.0863037109375)]","[(0, 3753.728759765625), (1, 3270.2626953125)]","[(0, 2063.505859375), (1, 1429.22998046875)]","[(0, 3159.365234375), (1, 2069.82666015625)]","[(0, 10316.2939453125), (1, 8060.185546875)]","[(0, 2634.886962890625), (1, 3479.109130859375)]","[(0, 3138.446533203125), (1, 1424.5767822265625)]","[(0, 5581.9775390625), (1, 6077.61181640625)]","[(0, 1932.7147216796875), (1, 2186.616455078125)]","[(0, 1947.98193359375), (1, 1566.574951171875)]","[(0, 2263.2734375), (1, 2019.3670654296875)]","[(0, 1899.26171875), (1, 1810.0418701171875)]","[(0, 1948.682373046875), (1, 1934.0496826171875)]","[(0, 1356.0899658203125), (1, 1100.669189453125)]","[(0, 1388.875732421875), (1, 1167.6527099609375)]","[(0, 4987.03076171875), (1, 5094.419921875)]","[(0, 1806.0166015625), (1, 1701.214111328125)]","[(0, 2116.607421875), (1, 2172.446044921875)]"
1,"[(0, 2095.101806640625), (1, 2368.83056640625)]","[(0, 972.7131958007812), (1, 1090.14794921875)]","[(0, 1291.7208251953125), (1, 1068.2950439453125)]","[(0, 535.8981323242188), (1, 420.96759033203125)]","[(0, 973.0137329101562), (1, 963.6714477539062)]","[(0, 594.7389526367188), (1, 305.0299072265625)]","[(0, 1216.56201171875), (1, 1370.013916015625)]","[(0, 1122.9715576171875), (1, 1101.91259765625)]","[(0, 1543.6397705078125), (1, 855.7378540039062)]","[(0, 3590.2939453125), (1, 4005.098388671875)]","[(0, 4641.93359375), (1, 5731.4599609375)]","[(0, 2324.236328125), (1, 1030.56396484375)]","[(0, 5010.07470703125), (1, 5482.3349609375)]","[(0, 1519.2159423828125), (1, 2125.54931640625)]","[(0, 3169.6171875), (1, 2433.35595703125)]","[(0, 1621.842041015625), (1, 1907.530029296875)]","[(0, 1454.372802734375), (1, 1460.0650634765625)]","[(0, 1993.4381103515625), (1, 2320.16357421875)]","[(0, 2311.642822265625), (1, 1860.330810546875)]","[(0, 1361.7890625), (1, 1316.84619140625)]","[(0, 2273.134033203125), (1, 2190.535400390625)]","[(0, 1624.2783203125), (1, 1539.13720703125)]","[(0, 2916.946044921875), (1, 3233.89599609375)]"
2,"[(0, 1662.0281982421875), (1, 1666.0677490234375)]","[(0, 1332.240966796875), (1, 1274.198486328125)]","[(0, 1118.344970703125), (1, 928.0706787109375)]","[(0, 682.83203125), (1, 543.724853515625)]","[(0, 1468.6109619140625), (1, 1436.4566650390625)]","[(0, 898.9483642578125), (1, 557.8204345703125)]","[(0, 1277.594482421875), (1, 1150.7120361328125)]","[(0, 1282.90869140625), (1, 1157.8358154296875)]","[(0, 2544.272216796875), (1, 1565.537109375)]","[(0, 4920.490234375), (1, 9116.0615234375)]","[(0, 3386.0537109375), (1, 2728.576416015625)]","[(0, 2191.374267578125), (1, 1374.967529296875)]","[(0, 5274.43212890625), (1, 5485.357421875)]","[(0, 1445.52099609375), (1, 1774.001953125)]","[(0, 2335.65966796875), (1, 1649.6705322265625)]","[(0, 3400.4736328125), (1, 2784.1298828125)]","[(0, 2850.812744140625), (1, 3029.253173828125)]","[(0, 1499.164306640625), (1, 1492.2518310546875)]","[(0, 1727.3294677734375), (1, 2030.810791015625)]","[(0, 2325.08544921875), (1, 1565.4288330078125)]","[(0, 2634.447265625), (1, 2902.24658203125)]","[(0, 2066.188720703125), (1, 1831.62353515625)]","[(0, 1795.7034912109375), (1, 2154.198974609375)]"
3,"[(0, 1331.669921875), (1, 1499.3880615234375)]","[(0, 916.2420654296875), (1, 933.705810546875)]","[(0, 1181.7681884765625), (1, 984.5824584960938)]","[(0, 939.210693359375), (1, 746.79296875)]","[(0, 3496.0615234375), (1, 3569.7001953125)]","[(0, 1390.27587890625), (1, 873.0211791992188)]","[(0, 1111.227294921875), (1, 1171.2059326171875)]","[(0, 3530.289306640625), (1, 1978.8609619140625)]","[(0, 2420.557861328125), (1, 1106.3388671875)]","[(0, 5313.23486328125), (1, 4400.5146484375)]","[(0, 5125.78466796875), (1, 4515.3994140625)]","[(0, 1856.0927734375), (1, 1678.807373046875)]","[(0, 5164.41064453125), (1, 5485.1064453125)]","[(0, 1736.4556884765625), (1, 1835.24560546875)]","[(0, 2828.185302734375), (1, 2026.6395263671875)]","[(0, 2628.987060546875), (1, 2970.46240234375)]","[(0, 2078.630126953125), (1, 2196.801025390625)]","[(0, 1655.3243408203125), (1, 1864.9501953125)]","[(0, 1447.68212890625), (1, 902.9527587890625)]","[(0, 2063.56591796875), (1, 4165.53271484375)]","[(0, 1857.6182861328125), (1, 2029.688720703125)]","[(0, 1978.517578125), (1, 1762.34814453125)]","[(0, 1484.63916015625), (1, 2001.717529296875)]"
4,"[(0, 782.9481201171875), (1, 875.4335327148438)]","[(0, 1663.8916015625), (1, 1955.096923828125)]","[(0, 1049.836669921875), (1, 1282.8333740234375)]","[(0, 1014.7079467773438), (1, 818.2911376953125)]","[(0, 2357.05615234375), (1, 2331.500244140625)]","[(0, 1001.4483642578125), (1, 700.2159423828125)]","[(0, 5002.6884765625), (1, 4095.027587890625)]","[(0, 1475.2421875), (1, 1476.072509765625)]","[(0, 1896.64892578125), (1, 842.1588134765625)]","[(0, 3163.360107421875), (1, 1819.1419677734375)]","[(0, 3756.29296875), (1, 3458.842529296875)]","[(0, 3517.595947265625), (1, 1616.8885498046875)]","[(0, 3686.883544921875), (1, 3979.63037109375)]","[(0, 1812.9970703125), (1, 2351.753662109375)]","[(0, 2970.537353515625), (1, 2500.905517578125)]","[(0, 2022.1644287109375), (1, 1644.919189453125)]","[(0, 2587.832275390625), (1, 2936.84814453125)]","[(0, 1172.2099609375), (1, 1174.021240234375)]","[(0, 1246.59716796875), (1, 1274.76611328125)]","[(0, 2051.849365234375), (1, 2031.6893310546875)]","[(0, 1185.8404541015625), (1, 1258.8402099609375)]","[(0, 2212.096435546875), (1, 1873.263916015625)]","[(0, 1840.604736328125), (1, 3499.79443359375)]"
5,"[(0, 1559.5244140625), (1, 1812.614013671875)]","[(0, 1187.75830078125), (1, 1306.4638671875)]","[(0, 1083.415771484375), (1, 1320.8470458984375)]","[(0, 915.448974609375), (1, 729.3690185546875)]","[(0, 1976.0963134765625), (1, 1957.549560546875)]","[(0, 593.7463989257812), (1, 379.2755126953125)]","[(0, 1810.19384765625), (1, 2163.817626953125)]","[(0, 1166.7672119140625), (1, 963.79052734375)]","[(0, 2642.39599609375), (1, 1994.4442138671875)]","[(0, 5414.326171875), (1, 3055.114501953125)]","[(0, 4200.71875), (1, 3535.052978515625)]","[(0, 1965.5869140625), (1, 1404.2313232421875)]","[(0, 4039.3486328125), (1, 4514.94287109375)]","[(0, 2219.314697265625), (1, 2807.062255859375)]","[(0, 3279.1259765625), (1, 2821.0185546875)]","[(0, 1429.6751708984375), (1, 1585.2113037109375)]","[(0, 1877.4290771484375), (1, 2088.094482421875)]","[(0, 1492.6795654296875), (1, 1352.26416015625)]","[(0, 2405.712890625), (1, 1753.971435546875)]","[(0, 2052.66943359375), (1, 3832.34130859375)]","[(0, 778.8621215820312), (1, 833.6565551757812)]","[(0, 1967.9755859375), (1, 1620.7899169921875)]","[(0, 1185.3089599609375), (1, 1202.3609619140625)]"
6,"[(0, 1457.76171875), (1, 1515.046875)]","[(0, 1583.6158447265625), (1, 1689.893310546875)]","[(0, 1095.34912109375), (1, 1329.4417724609375)]","[(0, 666.1058959960938), (1, 527.6954956054688)]","[(0, 749.1436767578125), (1, 760.80859375)]","[(0, 868.3711547851562), (1, 589.3215942382812)]","[(0, 4143.0576171875), (1, 3433.2939453125)]","[(0, 2516.632568359375), (1, 1320.4447021484375)]","[(0, 2201.379150390625), (1, 940.8772583007812)]","[(0, 4852.88916015625), (1, 6700.14892578125)]","[(0, 3684.65869140625), (1, 3627.23583984375)]","[(0, 3632.404052734375), (1, 3029.27880859375)]","[(0, 2420.068359375), (1, 2494.779541015625)]","[(0, 2601.84228515625), (1, 3148.86474609375)]","[(0, 2834.860595703125), (1, 2206.697021484375)]","[(0, 4600.5771484375), (1, 4323.16162109375)]","[(0, 2135.8974609375), (1, 2084.444580078125)]","[(0, 1513.8358154296875), (1, 1408.9659423828125)]","[(0, 1200.950927734375), (1, 1102.5501708984375)]","[(0, 2312.7431640625), (1, 1715.3638916015625)]","[(0, 1877.980712890625), (1, 1979.9520263671875)]","[(0, 2126.378662109375), (1, 1943.4293212890625)]","[(0, 1677.6182861328125), (1, 1763.3914794921875)]"
7,"[(0, 1141.1551513671875), (1, 1253.1734619140625)]","[(0, 1177.3828125), (1, 1176.3048095703125)]","[(0, 1133.693359375), (1, 1374.35791015625)]","[(0, 798.0786743164062), (1, 1004.4699096679688)]","[(0, 488.6531066894531), (1, 509.0235900878906)]","[(0, 1102.8809814453125), (1, 564.1243286132812)]","[(0, 1609.5653076171875), (1, 1960.2432861328125)]","[(0, 1635.46044921875), (1, 748.0396118164062)]","[(0, 2480.016357421875), (1, 1108.641357421875)]","[(0, 1906.75439453125), (1, 2866.36962890625)]","[(0, 3842.6689453125), (1, 3834.43603515625)]","[(0, 2330.498779296875), (1, 1093.8765869140625)]","[(0, 2236.16943359375), (1, 2225.837646484375)]","[(0, 3594.576416015625), (1, 4313.302734375)]","[(0, 3279.341796875), (1, 2463.71435546875)]","[(0, 3765.97412109375), (1, 3975.0107421875)]","[(0, 1593.3017578125), (1, 1532.8172607421875)]","[(0, 1530.5255126953125), (1, 1998.671142578125)]","[(0, 1124.15771484375), (1, 753.4810791015625)]","[(0, 4020.539794921875), (1, 4225.13427734375)]","[(0, 1791.4615478515625), (1, 1831.5992431640625)]","[(0, 1424.6392822265625), (1, 1184.7857666015625)]","[(0, 2092.45703125), (1, 3943.091552734375)]"
8,"[(0, 1188.9698486328125), (1, 1080.87744140625)]","[(0, 1974.6541748046875), (1, 1859.245361328125)]","[(0, 1097.13525390625), (1, 908.4266357421875)]","[(0, 438.8831787109375), (1, 552.2017211914062)]","[(0, 771.8905639648438), (1, 808.4724731445312)]","[(0, 590.8840942382812), (1, 284.1513671875)]","[(0, 1437.8284912109375), (1, 1265.1822509765625)]","[(0, 1185.7086181640625), (1, 875.4005126953125)]","[(0, 1673.0263671875), (1, 709.4383544921875)]","[(0, 1538.0360107421875), (1, 1370.990234375)]","[(0, 1545.9107666015625), (1, 1882.85400390625)]","[(0, 2375.81103515625), (1, 1853.6419677734375)]","[(0, 7266.537109375), (1, 7185.22216796875)]","[(0, 1768.9287109375), (1, 2272.25830078125)]","[(0, 2605.07861328125), (1, 2051.70556640625)]","[(0, 4869.61572265625), (1, 4145.1796875)]","[(0, 2266.12744140625), (1, 2010.5526123046875)]","[(0, 1167.2987060546875), (1, 1147.2506103515625)]","[(0, 1931.061279296875), (1, 1410.94384765625)]","[(0, 1738.194580078125), (1, 1462.7794189453125)]","[(0, 1762.757568359375), (1, 1891.1392822265625)]","[(0, 1361.3658447265625), (1, 1428.046630859375)]","[(0, 1674.51806640625), (1, 2087.405517578125)]"
9,"[(0, 1997.8155517578125), (1, 1868.1961669921875)]","[(0, 1363.6234130859375), (1, 1207.8551025390625)]","[(0, 1207.2332763671875), (1, 989.4526977539062)]","[(0, 563.3222045898438), (1, 699.9515380859375)]","[(0, 1898.92041015625), (1, 1910.181640625)]","[(0, 905.4534301757812), (1, 537.618896484375)]","[(0, 1462.8114013671875), (1, 1677.4078369140625)]","[(0, 3506.165283203125), (1, 1527.8916015625)]","[(0, 1419.9427490234375), (1, 886.2734375)]","[(0, 2376.232666015625), (1, 3005.650634765625)]","[(0, 1502.471923828125), (1, 1772.6278076171875)]","[(0, 1710.4404296875), (1, 1206.810302734375)]","[(0, 7589.9033203125), (1, 7590.244140625)]","[(0, 2457.369140625), (1, 2729.88037109375)]","[(0, 3239.31298828125), (1, 2621.830078125)]","[(0, 3207.447509765625), (1, 3822.02294921875)]","[(0, 1672.111572265625), (1, 1528.844970703125)]","[(0, 1860.6378173828125), (1, 1709.2752685546875)]","[(0, 2059.447998046875), (1, 1355.3084716796875)]","[(0, 2085.086669921875), (1, 2345.92724609375)]","[(0, 1282.987548828125), (1, 1365.692138671875)]","[(0, 1075.110595703125), (1, 1204.870849609375)]","[(0, 2144.06298828125), (1, 2384.008056640625)]"
