,best
agreement_determiner_noun-across_1_adjective,0.497
agreement_determiner_noun-between_neighbors,0.462
agreement_subject_verb-across_prepositional_phrase,0.501
agreement_subject_verb-across_relative_clause,0.497
agreement_subject_verb-in_question_with_aux,0.46
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.531
argument_structure-dropped_argument,0.7825
argument_structure-swapped_arguments,0.992
argument_structure-transitive,0.5135
binding-principle_a,0.4475
case-subjective_pronoun,0.9185
ellipsis-n_bar,0.1555
filler-gap-wh_question_object,0.169
filler-gap-wh_question_subject,1.0
irregular-verb,0.4915
island-effects-adjunct_island,0.494
island-effects-coordinate_structure_constraint,0.54
local_attractor-in_question_with_aux,0.7845
npi_licensing-matrix_question,0.5925
npi_licensing-only_npi_licensor,0.486
quantifiers-existential_there,0.7835
quantifiers-superlative,0.1235
