,best
agreement_determiner_noun-across_1_adjective,0.5
agreement_determiner_noun-between_neighbors,0.5145
agreement_subject_verb-across_prepositional_phrase,0.503
agreement_subject_verb-across_relative_clause,0.4965
agreement_subject_verb-in_question_with_aux,0.494
agreement_subject_verb-in_simple_question,0.498
anaphor_agreement-pronoun_gender,0.5195
argument_structure-dropped_argument,0.811
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.5305
binding-principle_a,0.338
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1605
filler-gap-wh_question_object,0.3
filler-gap-wh_question_subject,1.0
irregular-verb,0.598
island-effects-adjunct_island,0.5085
island-effects-coordinate_structure_constraint,0.1895
local_attractor-in_question_with_aux,0.7585
npi_licensing-matrix_question,0.5705
npi_licensing-only_npi_licensor,0.5725
quantifiers-existential_there,0.646
quantifiers-superlative,0.297
