,best
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.513
agreement_subject_verb-across_prepositional_phrase,0.4905
agreement_subject_verb-across_relative_clause,0.51
agreement_subject_verb-in_question_with_aux,0.504
agreement_subject_verb-in_simple_question,0.4935
anaphor_agreement-pronoun_gender,0.5315
argument_structure-dropped_argument,0.8875
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5295
binding-principle_a,0.3225
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1365
filler-gap-wh_question_object,0.398
filler-gap-wh_question_subject,0.9025
irregular-verb,0.5445
island-effects-adjunct_island,0.538
island-effects-coordinate_structure_constraint,0.4665
local_attractor-in_question_with_aux,0.6535
npi_licensing-matrix_question,0.336
npi_licensing-only_npi_licensor,0.9575
quantifiers-existential_there,0.662
quantifiers-superlative,0.481
