,checkpoint-32000
agreement_determiner_noun-across_1_adjective,0.8015
agreement_determiner_noun-between_neighbors,0.824
agreement_subject_verb-across_prepositional_phrase,0.552
agreement_subject_verb-across_relative_clause,0.604
agreement_subject_verb-in_question_with_aux,0.675
agreement_subject_verb-in_simple_question,0.6095
anaphor_agreement-pronoun_gender,0.8405
argument_structure-dropped_argument,0.892
argument_structure-swapped_arguments,0.9525
argument_structure-transitive,0.598
binding-principle_a,0.87
case-subjective_pronoun,0.9915
ellipsis-n_bar,0.546
filler-gap-wh_question_object,0.894
filler-gap-wh_question_subject,0.9575
irregular-verb,0.946
island-effects-adjunct_island,0.5025
island-effects-coordinate_structure_constraint,0.7095
local_attractor-in_question_with_aux,0.8915
npi_licensing-matrix_question,0.752
npi_licensing-only_npi_licensor,0.45
quantifiers-existential_there,0.897
quantifiers-superlative,0.721
