,best
agreement_determiner_noun-across_1_adjective,0.509
agreement_determiner_noun-between_neighbors,0.5295
agreement_subject_verb-across_prepositional_phrase,0.512
agreement_subject_verb-across_relative_clause,0.5155
agreement_subject_verb-in_question_with_aux,0.5035
agreement_subject_verb-in_simple_question,0.496
anaphor_agreement-pronoun_gender,0.531
argument_structure-dropped_argument,0.906
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5735
binding-principle_a,0.254
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1575
filler-gap-wh_question_object,0.377
filler-gap-wh_question_subject,0.6815
irregular-verb,0.5255
island-effects-adjunct_island,0.583
island-effects-coordinate_structure_constraint,0.414
local_attractor-in_question_with_aux,0.538
npi_licensing-matrix_question,0.297
npi_licensing-only_npi_licensor,0.772
quantifiers-existential_there,0.6755
quantifiers-superlative,0.482
