,checkpoint-2000
agreement_determiner_noun-across_1_adjective,0.496
agreement_determiner_noun-between_neighbors,0.492
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.497
agreement_subject_verb-in_question_with_aux,0.5065
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.507
argument_structure-dropped_argument,0.5075
argument_structure-swapped_arguments,0.151
argument_structure-transitive,0.4945
binding-principle_a,0.3655
case-subjective_pronoun,0.1355
ellipsis-n_bar,0.7435
filler-gap-wh_question_object,0.525
filler-gap-wh_question_subject,0.5835
irregular-verb,0.5095
island-effects-adjunct_island,0.4795
island-effects-coordinate_structure_constraint,0.658
local_attractor-in_question_with_aux,0.4725
npi_licensing-matrix_question,0.649
npi_licensing-only_npi_licensor,0.9905
quantifiers-existential_there,0.6975
quantifiers-superlative,0.5975
