,checkpoint-16000
agreement_determiner_noun-across_1_adjective,0.6545
agreement_determiner_noun-between_neighbors,0.762
agreement_subject_verb-across_prepositional_phrase,0.5475
agreement_subject_verb-across_relative_clause,0.5775
agreement_subject_verb-in_question_with_aux,0.5665
agreement_subject_verb-in_simple_question,0.593
anaphor_agreement-pronoun_gender,0.5365
argument_structure-dropped_argument,0.9255
argument_structure-swapped_arguments,0.981
argument_structure-transitive,0.6965
binding-principle_a,0.632
case-subjective_pronoun,0.996
ellipsis-n_bar,0.2285
filler-gap-wh_question_object,0.909
filler-gap-wh_question_subject,0.9885
irregular-verb,0.8985
island-effects-adjunct_island,0.5095
island-effects-coordinate_structure_constraint,0.8725
local_attractor-in_question_with_aux,0.8015
npi_licensing-matrix_question,0.4
npi_licensing-only_npi_licensor,0.884
quantifiers-existential_there,0.9175
quantifiers-superlative,0.973
