,checkpoint-44000
agreement_determiner_noun-across_1_adjective,0.7555
agreement_determiner_noun-between_neighbors,0.731
agreement_subject_verb-across_prepositional_phrase,0.5595
agreement_subject_verb-across_relative_clause,0.581
agreement_subject_verb-in_question_with_aux,0.7155
agreement_subject_verb-in_simple_question,0.609
anaphor_agreement-pronoun_gender,0.8425
argument_structure-dropped_argument,0.874
argument_structure-swapped_arguments,0.981
argument_structure-transitive,0.604
binding-principle_a,0.8005
case-subjective_pronoun,0.998
ellipsis-n_bar,0.463
filler-gap-wh_question_object,0.904
filler-gap-wh_question_subject,0.988
irregular-verb,0.8785
island-effects-adjunct_island,0.468
island-effects-coordinate_structure_constraint,0.86
local_attractor-in_question_with_aux,0.929
npi_licensing-matrix_question,0.7545
npi_licensing-only_npi_licensor,0.2965
quantifiers-existential_there,0.9215
quantifiers-superlative,0.8595
