,checkpoint-12000
agreement_determiner_noun-across_1_adjective,0.577
agreement_determiner_noun-between_neighbors,0.698
agreement_subject_verb-across_prepositional_phrase,0.525
agreement_subject_verb-across_relative_clause,0.528
agreement_subject_verb-in_question_with_aux,0.486
agreement_subject_verb-in_simple_question,0.506
anaphor_agreement-pronoun_gender,0.5165
argument_structure-dropped_argument,0.9185
argument_structure-swapped_arguments,0.993
argument_structure-transitive,0.687
binding-principle_a,0.6855
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3055
filler-gap-wh_question_object,0.8605
filler-gap-wh_question_subject,1.0
irregular-verb,0.9015
island-effects-adjunct_island,0.549
island-effects-coordinate_structure_constraint,0.783
local_attractor-in_question_with_aux,0.7085
npi_licensing-matrix_question,0.357
npi_licensing-only_npi_licensor,0.9705
quantifiers-existential_there,0.819
quantifiers-superlative,0.891
