,checkpoint-4000
agreement_determiner_noun-across_1_adjective,0.495
agreement_determiner_noun-between_neighbors,0.4855
agreement_subject_verb-across_prepositional_phrase,0.501
agreement_subject_verb-across_relative_clause,0.4905
agreement_subject_verb-in_question_with_aux,0.5125
agreement_subject_verb-in_simple_question,0.4915
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.6905
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.452
binding-principle_a,0.5205
case-subjective_pronoun,1.0
ellipsis-n_bar,0.898
filler-gap-wh_question_object,0.803
filler-gap-wh_question_subject,0.9965
irregular-verb,0.507
island-effects-adjunct_island,0.288
island-effects-coordinate_structure_constraint,0.3955
local_attractor-in_question_with_aux,0.7955
npi_licensing-matrix_question,0.7275
npi_licensing-only_npi_licensor,0.0065
quantifiers-existential_there,0.7595
quantifiers-superlative,0.509
