,checkpoint-36000
agreement_determiner_noun-across_1_adjective,0.8785
agreement_determiner_noun-between_neighbors,0.8395
agreement_subject_verb-across_prepositional_phrase,0.584
agreement_subject_verb-across_relative_clause,0.64
agreement_subject_verb-in_question_with_aux,0.747
agreement_subject_verb-in_simple_question,0.798
anaphor_agreement-pronoun_gender,0.795
argument_structure-dropped_argument,0.91
argument_structure-swapped_arguments,0.982
argument_structure-transitive,0.691
binding-principle_a,0.8285
case-subjective_pronoun,0.999
ellipsis-n_bar,0.4495
filler-gap-wh_question_object,0.911
filler-gap-wh_question_subject,0.971
irregular-verb,0.918
island-effects-adjunct_island,0.443
island-effects-coordinate_structure_constraint,0.8415
local_attractor-in_question_with_aux,0.984
npi_licensing-matrix_question,0.666
npi_licensing-only_npi_licensor,0.998
quantifiers-existential_there,0.9755
quantifiers-superlative,0.7855
