,checkpoint-12000
agreement_determiner_noun-across_1_adjective,0.5605
agreement_determiner_noun-between_neighbors,0.624
agreement_subject_verb-across_prepositional_phrase,0.535
agreement_subject_verb-across_relative_clause,0.5285
agreement_subject_verb-in_question_with_aux,0.513
agreement_subject_verb-in_simple_question,0.512
anaphor_agreement-pronoun_gender,0.5285
argument_structure-dropped_argument,0.929
argument_structure-swapped_arguments,0.9985
argument_structure-transitive,0.6955
binding-principle_a,0.6765
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2075
filler-gap-wh_question_object,0.935
filler-gap-wh_question_subject,1.0
irregular-verb,0.877
island-effects-adjunct_island,0.563
island-effects-coordinate_structure_constraint,0.6045
local_attractor-in_question_with_aux,0.589
npi_licensing-matrix_question,0.3635
npi_licensing-only_npi_licensor,0.5245
quantifiers-existential_there,0.854
quantifiers-superlative,0.8285
