,checkpoint-2000
agreement_determiner_noun-across_1_adjective,0.515
agreement_determiner_noun-between_neighbors,0.508
agreement_subject_verb-across_prepositional_phrase,0.509
agreement_subject_verb-across_relative_clause,0.511
agreement_subject_verb-in_question_with_aux,0.5165
agreement_subject_verb-in_simple_question,0.496
anaphor_agreement-pronoun_gender,0.4845
argument_structure-dropped_argument,0.2735
argument_structure-swapped_arguments,0.3025
argument_structure-transitive,0.5865
binding-principle_a,0.5085
case-subjective_pronoun,0.246
ellipsis-n_bar,0.644
filler-gap-wh_question_object,0.147
filler-gap-wh_question_subject,0.126
irregular-verb,0.5075
island-effects-adjunct_island,0.5575
island-effects-coordinate_structure_constraint,0.592
local_attractor-in_question_with_aux,0.5885
npi_licensing-matrix_question,0.593
npi_licensing-only_npi_licensor,0.781
quantifiers-existential_there,0.368
quantifiers-superlative,0.923
