,best
agreement_determiner_noun-across_1_adjective,0.5415
agreement_determiner_noun-between_neighbors,0.611
agreement_subject_verb-across_prepositional_phrase,0.527
agreement_subject_verb-across_relative_clause,0.502
agreement_subject_verb-in_question_with_aux,0.5145
agreement_subject_verb-in_simple_question,0.5065
anaphor_agreement-pronoun_gender,0.5375
argument_structure-dropped_argument,0.802
argument_structure-swapped_arguments,0.995
argument_structure-transitive,0.6725
binding-principle_a,0.4035
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.262
filler-gap-wh_question_object,0.53
filler-gap-wh_question_subject,0.9905
irregular-verb,0.8095
island-effects-adjunct_island,0.6965
island-effects-coordinate_structure_constraint,0.3495
local_attractor-in_question_with_aux,0.6885
npi_licensing-matrix_question,0.565
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.75
quantifiers-superlative,0.1935
