,checkpoint-8000
agreement_determiner_noun-across_1_adjective,0.503
agreement_determiner_noun-between_neighbors,0.5335
agreement_subject_verb-across_prepositional_phrase,0.5125
agreement_subject_verb-across_relative_clause,0.5065
agreement_subject_verb-in_question_with_aux,0.5055
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.9035
argument_structure-swapped_arguments,0.9965
argument_structure-transitive,0.635
binding-principle_a,0.5545
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1485
filler-gap-wh_question_object,0.7665
filler-gap-wh_question_subject,1.0
irregular-verb,0.8645
island-effects-adjunct_island,0.5725
island-effects-coordinate_structure_constraint,0.517
local_attractor-in_question_with_aux,0.6065
npi_licensing-matrix_question,0.521
npi_licensing-only_npi_licensor,0.8335
quantifiers-existential_there,0.763
quantifiers-superlative,0.641
