,checkpoint-16000
agreement_determiner_noun-across_1_adjective,0.643
agreement_determiner_noun-between_neighbors,0.7415
agreement_subject_verb-across_prepositional_phrase,0.523
agreement_subject_verb-across_relative_clause,0.574
agreement_subject_verb-in_question_with_aux,0.628
agreement_subject_verb-in_simple_question,0.5345
anaphor_agreement-pronoun_gender,0.556
argument_structure-dropped_argument,0.9395
argument_structure-swapped_arguments,0.959
argument_structure-transitive,0.6495
binding-principle_a,0.7425
case-subjective_pronoun,1.0
ellipsis-n_bar,0.329
filler-gap-wh_question_object,0.879
filler-gap-wh_question_subject,0.9935
irregular-verb,0.884
island-effects-adjunct_island,0.5285
island-effects-coordinate_structure_constraint,0.7085
local_attractor-in_question_with_aux,0.796
npi_licensing-matrix_question,0.5775
npi_licensing-only_npi_licensor,0.665
quantifiers-existential_there,0.8695
quantifiers-superlative,0.957
