,checkpoint-20000
agreement_determiner_noun-across_1_adjective,0.737
agreement_determiner_noun-between_neighbors,0.8295
agreement_subject_verb-across_prepositional_phrase,0.554
agreement_subject_verb-across_relative_clause,0.5915
agreement_subject_verb-in_question_with_aux,0.667
agreement_subject_verb-in_simple_question,0.551
anaphor_agreement-pronoun_gender,0.611
argument_structure-dropped_argument,0.9025
argument_structure-swapped_arguments,0.973
argument_structure-transitive,0.705
binding-principle_a,0.7615
case-subjective_pronoun,1.0
ellipsis-n_bar,0.472
filler-gap-wh_question_object,0.7825
filler-gap-wh_question_subject,0.9695
irregular-verb,0.932
island-effects-adjunct_island,0.469
island-effects-coordinate_structure_constraint,0.72
local_attractor-in_question_with_aux,0.7445
npi_licensing-matrix_question,0.6735
npi_licensing-only_npi_licensor,0.8105
quantifiers-existential_there,0.8765
quantifiers-superlative,0.9995
