,best
agreement_determiner_noun-across_1_adjective,0.501
agreement_determiner_noun-between_neighbors,0.5095
agreement_subject_verb-across_prepositional_phrase,0.5145
agreement_subject_verb-across_relative_clause,0.516
agreement_subject_verb-in_question_with_aux,0.5025
agreement_subject_verb-in_simple_question,0.501
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.939
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.584
binding-principle_a,0.3035
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3555
filler-gap-wh_question_object,0.295
filler-gap-wh_question_subject,0.622
irregular-verb,0.5945
island-effects-adjunct_island,0.686
island-effects-coordinate_structure_constraint,0.5835
local_attractor-in_question_with_aux,0.441
npi_licensing-matrix_question,0.4695
npi_licensing-only_npi_licensor,0.997
quantifiers-existential_there,0.6135
quantifiers-superlative,0.5085
